"opt/step","C4H4-new-1-3.0-1-104613 - _step","C4H4-new-1-3.0-1-104613 - _step__MIN","C4H4-new-1-3.0-1-104613 - _step__MAX","C4H4-new-1-3.0-1-104613 - opt/E_smooth","C4H4-new-1-3.0-1-104613 - opt/E_smooth__MIN","C4H4-new-1-3.0-1-104613 - opt/E_smooth__MAX","C4H4-new-1-9.0-3-104613 - _step","C4H4-new-1-9.0-3-104613 - _step__MIN","C4H4-new-1-9.0-3-104613 - _step__MAX","C4H4-new-1-9.0-3-104613 - opt/E_smooth","C4H4-new-1-9.0-3-104613 - opt/E_smooth__MIN","C4H4-new-1-9.0-3-104613 - opt/E_smooth__MAX","C4H4-new-1-6.0-2-104613 - _step","C4H4-new-1-6.0-2-104613 - _step__MIN","C4H4-new-1-6.0-2-104613 - _step__MAX","C4H4-new-1-6.0-2-104613 - opt/E_smooth","C4H4-new-1-6.0-2-104613 - opt/E_smooth__MIN","C4H4-new-1-6.0-2-104613 - opt/E_smooth__MAX"
"0","1500","1500","1500","-147.90606689453125","-147.90606689453125","-147.90606689453125","1500","1500","1500","-149.45863342285156","-149.45863342285156","-149.45863342285156","1500","1500","1500","-148.84242248535156","-148.84242248535156","-148.84242248535156"
"1","1501","1501","1501","-147.73074340820312","-147.73074340820312","-147.73074340820312","1501","1501","1501","-149.67034912109375","-149.67034912109375","-149.67034912109375","1501","1501","1501","-149.02288818359375","-149.02288818359375","-149.02288818359375"
"2","1502","1502","1502","-147.59796142578125","-147.59796142578125","-147.59796142578125","1502","1502","1502","-149.6566925048828","-149.6566925048828","-149.6566925048828","1502","1502","1502","-148.9225311279297","-148.9225311279297","-148.9225311279297"
"3","1503","1503","1503","-147.94000244140625","-147.94000244140625","-147.94000244140625","1503","1503","1503","-149.68557739257812","-149.68557739257812","-149.68557739257812","1503","1503","1503","-149.02410888671875","-149.02410888671875","-149.02410888671875"
"4","1504","1504","1504","-147.92913818359375","-147.92913818359375","-147.92913818359375","1504","1504","1504","-149.75424194335938","-149.75424194335938","-149.75424194335938","1504","1504","1504","-148.82293701171875","-148.82293701171875","-148.82293701171875"
"5","1505","1505","1505","-147.81568908691406","-147.81568908691406","-147.81568908691406","1505","1505","1505","-149.93650817871094","-149.93650817871094","-149.93650817871094","1505","1505","1505","-148.94302368164062","-148.94302368164062","-148.94302368164062"
"6","1506","1506","1506","-148.0496368408203","-148.0496368408203","-148.0496368408203","1506","1506","1506","-149.83990478515625","-149.83990478515625","-149.83990478515625","1506","1506","1506","-148.96240234375","-148.96240234375","-148.96240234375"
"7","1507","1507","1507","-148.00048828125","-148.00048828125","-148.00048828125","1507","1507","1507","-149.7770538330078","-149.7770538330078","-149.7770538330078","1507","1507","1507","-149.2362823486328","-149.2362823486328","-149.2362823486328"
"8","1508","1508","1508","-148.00753784179688","-148.00753784179688","-148.00753784179688","1508","1508","1508","-149.81283569335938","-149.81283569335938","-149.81283569335938","1508","1508","1508","-148.95794677734375","-148.95794677734375","-148.95794677734375"
"9","1509","1509","1509","-147.95465087890625","-147.95465087890625","-147.95465087890625","1509","1509","1509","-149.78460693359375","-149.78460693359375","-149.78460693359375","1509","1509","1509","-149.07098388671875","-149.07098388671875","-149.07098388671875"
