"Step","07-02_cumulene_C4H4_0deg_13b1974852bbdb41a3edc82b988422bf_5 - opt/E_smooth","07-02_cumulene_C4H4_0deg_13b1974852bbdb41a3edc82b988422bf_5 - opt/E_smooth__MIN","07-02_cumulene_C4H4_0deg_13b1974852bbdb41a3edc82b988422bf_5 - opt/E_smooth__MAX"
"1100","-150.20115661621094","-150.20115661621094","-150.20115661621094"
"1101","-149.3925323486328","-149.3925323486328","-149.3925323486328"
"1105","-149.35301208496094","-149.35301208496094","-149.35301208496094"
"1106","-149.52651977539062","-149.52651977539062","-149.52651977539062"
"1107","-150.13156127929688","-150.13156127929688","-150.13156127929688"
"1108","-149.75146484375","-149.75146484375","-149.75146484375"
"1110","-149.20343017578125","-149.20343017578125","-149.20343017578125"
"1113","-149.9214324951172","-149.9214324951172","-149.9214324951172"
"1114","-149.94830322265625","-149.94830322265625","-149.94830322265625"
"1115","-149.7779541015625","-149.7779541015625","-149.7779541015625"
"1116","-149.767822265625","-149.767822265625","-149.767822265625"
"1119","-149.6193084716797","-149.6193084716797","-149.6193084716797"
"1122","-150.20560455322266","-150.20560455322266","-150.20560455322266"
"1125","-150.93795013427734","-150.93795013427734","-150.93795013427734"
"1127","-150.64774322509766","-150.64774322509766","-150.64774322509766"
"1129","-150.41442108154297","-150.41442108154297","-150.41442108154297"
"1130","-150.12831115722656","-150.12831115722656","-150.12831115722656"
"1132","-150.21661885579428","-150.21661885579428","-150.21661885579428"
"1133","-150.33881632486978","-150.33881632486978","-150.33881632486978"
"1135","-150.4215342203776","-150.4215342203776","-150.4215342203776"
"1138","-150.07972208658853","-150.07972208658853","-150.07972208658853"
"1140","-150.31704330444336","-150.31704330444336","-150.31704330444336"
"1144","-150.24849700927734","-150.24849700927734","-150.24849700927734"
"1146","-150.44336318969727","-150.44336318969727","-150.44336318969727"
"1147","-150.49698638916016","-150.49698638916016","-150.49698638916016"
"1150","-151.0427001953125","-151.0427001953125","-151.0427001953125"
"1151","-151.0291259765625","-151.0291259765625","-151.0291259765625"
"1152","-151.10606689453124","-151.10606689453124","-151.10606689453124"
"1153","-151.00298461914062","-151.00298461914062","-151.00298461914062"
"1159","-150.96548767089843","-150.96548767089843","-150.96548767089843"
"1160","-150.919802347819","-150.919802347819","-150.919802347819"
"1161","-150.92142740885416","-150.92142740885416","-150.92142740885416"
"1162","-150.9744618733724","-150.9744618733724","-150.9744618733724"
"1164","-150.9275105794271","-150.9275105794271","-150.9275105794271"
"1165","-150.89685821533203","-150.89685821533203","-150.89685821533203"
"1166","-150.8732172648112","-150.8732172648112","-150.8732172648112"
"1167","-150.86265563964844","-150.86265563964844","-150.86265563964844"
"1174","-151.19395664760046","-151.19395664760046","-151.19395664760046"
"1176","-151.2717001778739","-151.2717001778739","-151.2717001778739"
"1177","-151.26972089494978","-151.26972089494978","-151.26972089494978"
"1178","-151.25979832240515","-151.25979832240515","-151.25979832240515"
"1179","-151.26287405831474","-151.26287405831474","-151.26287405831474"
"1181","-151.3245391845703","-151.3245391845703","-151.3245391845703"
"1182","-151.29687118530273","-151.29687118530273","-151.29687118530273"
"1184","-151.26263427734375","-151.26263427734375","-151.26263427734375"
"1185","-151.28277206420898","-151.28277206420898","-151.28277206420898"
"1186","-151.33398818969727","-151.33398818969727","-151.33398818969727"
"1187","-151.3278579711914","-151.3278579711914","-151.3278579711914"
"1188","-151.3453712463379","-151.3453712463379","-151.3453712463379"
"1189","-151.34919357299805","-151.34919357299805","-151.34919357299805"
"1192","-151.44026353624133","-151.44026353624133","-151.44026353624133"
"1193","-151.4947509765625","-151.4947509765625","-151.4947509765625"
"1194","-151.5015123155382","-151.5015123155382","-151.5015123155382"
"1196","-151.60539754231772","-151.60539754231772","-151.60539754231772"
"1197","-151.61272854275174","-151.61272854275174","-151.61272854275174"
"1198","-151.60220336914062","-151.60220336914062","-151.60220336914062"
"1200","-151.6716079711914","-151.6716079711914","-151.6716079711914"
"1202","-151.6998489379883","-151.6998489379883","-151.6998489379883"
"1203","-151.69817657470702","-151.69817657470702","-151.69817657470702"
"1204","-151.7382034301758","-151.7382034301758","-151.7382034301758"
"1209","-151.79646759033204","-151.79646759033204","-151.79646759033204"
"1211","-151.869028264826","-151.869028264826","-151.869028264826"
"1214","-151.91514587402344","-151.91514587402344","-151.91514587402344"
"1216","-151.92048228870738","-151.92048228870738","-151.92048228870738"
"1217","-151.93356323242188","-151.93356323242188","-151.93356323242188"
"1219","-151.98693154074928","-151.98693154074928","-151.98693154074928"
"1224","-152.00173823038736","-152.00173823038736","-152.00173823038736"
"1225","-152.01054763793945","-152.01054763793945","-152.01054763793945"
"1229","-152.08061091105142","-152.08061091105142","-152.08061091105142"
"1230","-152.09085435133713","-152.09085435133713","-152.09085435133713"
"1231","-152.1068619948167","-152.1068619948167","-152.1068619948167"
"1232","-152.1092541034405","-152.1092541034405","-152.1092541034405"
"1233","-152.1109630878155","-152.1109630878155","-152.1109630878155"
"1235","-152.14498431865985","-152.14498431865985","-152.14498431865985"
