"opt/step","C4H4-new-1-6.0-1-106192 - _step","C4H4-new-1-6.0-1-106192 - _step__MIN","C4H4-new-1-6.0-1-106192 - _step__MAX","C4H4-new-1-6.0-1-106192 - opt/E_smooth","C4H4-new-1-6.0-1-106192 - opt/E_smooth__MIN","C4H4-new-1-6.0-1-106192 - opt/E_smooth__MAX","C4H4-new-1-3.0-8-106026 - _step","C4H4-new-1-3.0-8-106026 - _step__MIN","C4H4-new-1-3.0-8-106026 - _step__MAX","C4H4-new-1-3.0-8-106026 - opt/E_smooth","C4H4-new-1-3.0-8-106026 - opt/E_smooth__MIN","C4H4-new-1-3.0-8-106026 - opt/E_smooth__MAX","C4H4-new-1-6.0-9-106026 - _step","C4H4-new-1-6.0-9-106026 - _step__MIN","C4H4-new-1-6.0-9-106026 - _step__MAX","C4H4-new-1-6.0-9-106026 - opt/E_smooth","C4H4-new-1-6.0-9-106026 - opt/E_smooth__MIN","C4H4-new-1-6.0-9-106026 - opt/E_smooth__MAX","C4H4-moon-2-5.0-3-104963 - _step","C4H4-moon-2-5.0-3-104963 - _step__MIN","C4H4-moon-2-5.0-3-104963 - _step__MAX","C4H4-moon-2-5.0-3-104963 - opt/E_smooth","C4H4-moon-2-5.0-3-104963 - opt/E_smooth__MIN","C4H4-moon-2-5.0-3-104963 - opt/E_smooth__MAX"
"0","1500","1500","1500","-148.74887084960938","-148.74887084960938","-148.74887084960938","1500","1500","1500","-148.7919158935547","-148.7919158935547","-148.7919158935547","1500","1500","1500","-149.47384643554688","-149.47384643554688","-149.47384643554688","1500","1500","1500","-150.76083374023438","-150.76083374023438","-150.76083374023438"
"1","1501","1501","1501","-148.9044952392578","-148.9044952392578","-148.9044952392578","1501","1501","1501","-148.7246551513672","-148.7246551513672","-148.7246551513672","1501","1501","1501","-149.37008666992188","-149.37008666992188","-149.37008666992188","1501","1501","1501","-150.7210693359375","-150.7210693359375","-150.7210693359375"
"2","1502","1502","1502","-148.82557678222656","-148.82557678222656","-148.82557678222656","1502","1502","1502","-148.81484985351562","-148.81484985351562","-148.81484985351562","1502","1502","1502","-149.4949188232422","-149.4949188232422","-149.4949188232422","1502","1502","1502","-150.975341796875","-150.975341796875","-150.975341796875"
"3","1503","1503","1503","-148.880126953125","-148.880126953125","-148.880126953125","1503","1503","1503","-148.94772338867188","-148.94772338867188","-148.94772338867188","1503","1503","1503","-149.5738525390625","-149.5738525390625","-149.5738525390625","1503","1503","1503","-150.8652801513672","-150.8652801513672","-150.8652801513672"
"4","1504","1504","1504","-148.8489990234375","-148.8489990234375","-148.8489990234375","1504","1504","1504","-148.93356323242188","-148.93356323242188","-148.93356323242188","1504","1504","1504","-149.85421752929688","-149.85421752929688","-149.85421752929688","1504","1504","1504","-151.09017944335938","-151.09017944335938","-151.09017944335938"
"5","1505","1505","1505","-148.55816650390625","-148.55816650390625","-148.55816650390625","1505","1505","1505","-148.9134979248047","-148.9134979248047","-148.9134979248047","1505","1505","1505","-149.9494171142578","-149.9494171142578","-149.9494171142578","1505","1505","1505","-150.92926025390625","-150.92926025390625","-150.92926025390625"
"6","1506","1506","1506","-148.58917236328125","-148.58917236328125","-148.58917236328125","1506","1506","1506","-148.95338439941406","-148.95338439941406","-148.95338439941406","1506","1506","1506","-149.97317504882812","-149.97317504882812","-149.97317504882812","1506","1506","1506","-150.93972778320312","-150.93972778320312","-150.93972778320312"
"7","1507","1507","1507","-148.49386596679688","-148.49386596679688","-148.49386596679688","1507","1507","1507","-149.03744506835938","-149.03744506835938","-149.03744506835938","1507","1507","1507","-149.7811279296875","-149.7811279296875","-149.7811279296875","1507","1507","1507","-150.93739318847656","-150.93739318847656","-150.93739318847656"
"8","1508","1508","1508","-148.2428741455078","-148.2428741455078","-148.2428741455078","1508","1508","1508","-149.08807373046875","-149.08807373046875","-149.08807373046875","1508","1508","1508","-149.76776123046875","-149.76776123046875","-149.76776123046875","1508","1508","1508","-150.93942260742188","-150.93942260742188","-150.93942260742188"
"9","1509","1509","1509","-148.24517822265625","-148.24517822265625","-148.24517822265625","1509","1509","1509","-149.12451171875","-149.12451171875","-149.12451171875","1509","1509","1509","-149.8358917236328","-149.8358917236328","-149.8358917236328","1509","1509","1509","-151.11248779296875","-151.11248779296875","-151.11248779296875"
