method,d,error_to_mrciq
UCCSD(T),0.9987086776859506, 3.3532934131736525
UCCSD(T),1.1975723140495869, 1.6533599467731221
UCCSD(T),1.401601239669421, 1.0246174318030654
UCCSD(T),1.600464876033058, 1.047904191616773
UCCSD(T),1.8019111570247934, 3.0505655355954744
UCCSD(T),2.0020661157024793, 6.939454424484367
UCCSD(T),2.4010847107438016, 14.973386560212905
UCCSD(T),2.8013946280991737, 17.581503659347977
UCCSD(T),3.201704545454545, 16.044577511643386
UCCSD(T),3.602014462809918, 12.504990019960086
AFQMC,0.9987086776859506, 1.7697937458416604
AFQMC,1.2040289256198349, 1.606786427145714
AFQMC,1.4016012396694215, 0.4191616766467021
AFQMC,1.6004648760330582, 0.6287425149700709
AFQMC,1.8019111570247937, 1.0711909514304878
AFQMC,2.0020661157024797, 1.4437791084497746
AFQMC,2.402376033057851, 2.3752495009980166
AFQMC,2.802685950413224, -0.2095808383233404
AFQMC,3.2004132231404965, 0.13972055888223167
AFQMC,3.6007231404958686, -1.4204923486360528
Conventional VMC, 0.9935433884297522, 15.159680638722559
Conventional VMC, 1.1962809917355375, 14.181636726546913
Conventional VMC, 1.3951446280991735, 11.294078509647381
Conventional VMC, 1.59400826446281, 9.780439121756494
Conventional VMC, 1.7941632231404958, 9.058549567531607
Conventional VMC, 1.994318181818182, 8.522954091816377
Conventional VMC, 2.395919421487604, 7.6613439787092545
Conventional VMC, 2.794938016528926, 7.00931470392549
Conventional VMC, 3.195247933884298, 6.3107119095143105
Conventional VMC, 3.5955578512396693, 5.705256154357944
NN-VMC (FermiNet),1.0012913223140498, 3.9587491683300158
NN-VMC (FermiNet),1.201446280991736, 4.8669328010645465
NN-VMC (FermiNet),1.4003099173553721, 3.3765801729873672
NN-VMC (FermiNet),1.600464876033058, 2.65469061876248
NN-VMC (FermiNet),1.8019111570247937, 2.4451097804391253
NN-VMC (FermiNet),2.0007747933884303, 2.398536260811717
NN-VMC (FermiNet),2.401084710743802, 1.9328010645375926
NN-VMC (FermiNet),2.802685950413224, 1.350632069194944
NN-VMC (FermiNet),3.201704545454546, 0.6986027944111797
NN-VMC (FermiNet),3.602014462809918, 0.6986027944111797
