method,d,error_to_exp
UCCSD(T),1.6034482758620687, -2.037037037037031
UCCSD(T),1.70935960591133, -1.2268518518518476
UCCSD(T),1.8177339901477831, -1.018518518518512
UCCSD(T),1.9236453201970443, -0.7407407407407334
UCCSD(T),2.029556650246305, -0.4166666666666643
UCCSD(T),2.1354679802955667, 7.105427357601002e-15
UCCSD(T),2.458128078817734, 5.925925925925927
UCCSD(T),2.564039408866995, 8.541666666666671
UCCSD(T),2.6724137931034484, 11.851851851851851
UCCSD(T),2.778325123152709, 15.625
UCCSD(T),2.8842364532019706, 19.189814814814813
UCCSD(T),2.995073891625616, 21.875
UCCSD(T),3.0960591133004924, 23.21759259259259
UCCSD(T),3.2019704433497536, 23.287037037037038
UCCSD(T),3.307881773399015, 22.430555555555557
UCCSD(T),3.4162561576354675, 21.157407407407405
UCCSD(T),3.5246305418719213, 19.62962962962963
UCCSD(T),3.6305418719211824, 18.078703703703702
UCCSD(T),3.7389162561576357, 16.435185185185187
UCCSD(T),3.842364532019704, 14.74537037037037
UCCSD(T),3.9507389162561575, 13.078703703703702
UCCSD(T),4.056650246305419, 11.38888888888889
UCCSD(T),4.165024630541872, 9.814814814814817
UCCSD(T),4.2709359605911335, 8.333333333333336
UCCSD(T),4.376847290640394, 6.990740740740744
UCCSD(T),4.482758620689656, 5.810185185185187
UCCSD(T),4.5911330049261085, 4.768518518518519
UCCSD(T),4.697044334975369, 3.9351851851851833
UCCSD(T),4.805418719211823, 3.1712962962962976
UCCSD(T),4.9113300492610845, 2.569444444444443
UCCSD(T),5.017241379310345, 2.0601851851851904
UCCSD(T),5.125615763546798, 1.6203703703703738
UCCSD(T),5.233990147783252, 1.2731481481481524
UCCSD(T),5.3399014778325125, 0.9722222222222214
UCCSD(T),5.871921182266011, 0.18518518518518334
UCCSD(T),6.403940886699507, -0.11574074074073337
MR-ACPF,1.5962314939434727, 5.174625801853168
MR-ACPF,1.7900403768506057, 5.359942979330004
MR-ACPF,1.8829071332436071, 5.260156806842481
MR-ACPF,1.9596231493943472, 5.203136136849608
MR-ACPF,2.0040376850605655, 5.174625801853168
MR-ACPF,2.060565275908479, 5.174625801853168
MR-ACPF,2.1090174966352624, 5.174625801853168
MR-ACPF,2.173620457604307, 5.146115466856735
MR-ACPF,2.3149394347240912, 5.203136136849608
MR-ACPF,2.496635262449529, 5.2316464718460445
MR-ACPF,2.7510094212651417, 5.317177476835351
MR-ACPF,2.999327052489906, 5.402708481824661
MR-ACPF,3.491924629878869, 6.585887384176761
MR-ACPF,3.9986541049798117, 7.312900926585886
MR-ACPF,4.993943472409152, 5.816108339272986
NN-VMC,1.5962314939434727, 0.228082679971493
NN-VMC,2.0646029609690446, 0.8125445473984314
NN-VMC,2.1372812920592192, 0.9265858873841744
NN-VMC,2.6641991924629878, 1.197434069850317
NN-VMC,3.2012113055181697, 2.0812544547398417
NN-VMC,3.732166890982503, 3.4069850320741253
NN-VMC,3.996635262449529, 3.2644333570919457
NN-VMC,4.26514131897712, 2.7655024946543065
NN-VMC,4.800134589502019, 2.0527441197434086
NN-VMC,5.335127860026917, 1.0263720598717043

