molecule,cutoff,E_equ,E_diss,deltaE_mean,E_equ_err,E_diss_err,deltaE_err,opt_step_begin,opt_step_end,E_diss_extrapolated,E_equ_extrapolated,deltaE_extrapolated
01_Water_dimer,3,-34.51377252345112,-34.50647777353228,0.0072947499188397375,5.0077376354449946e-05,4.8870947190630737e-05,6.947177475320044e-05,34783,39833,-34.51340100466754,-34.521710438698335,0.008309434030792318
01_Water_dimer,5,-34.51527761583305,-34.50774060004287,0.007537015790171276,3.222681609634674e-05,3.090624056064271e-05,4.460797687832898e-05,44936,50000,-34.50948514592495,-34.51762521185204,0.008140065927094042
02_Formic_acid_dimer,3,-77.97372928534182,-77.94761607481597,0.02611321052584576,0.00010398393070213416,0.00010831925840680992,0.00015064341733595554,21642,26688,-78.01069323990116,-78.04054631592325,0.02985307602209275
02_Formic_acid_dimer,5,-77.98356215516579,-77.9565185455988,0.02704360956699431,8.181700812026872e-05,7.637900407768732e-05,0.00011185068765916223,44940,50000,-77.970280086715,-77.99921589087093,0.02893580415593533
03_Formamide_dimer,3,-66.95346799621582,-66.93136930389404,0.022098692321777344,0.00010850292571813423,0.00010280100030262203,0.0001472771489319685,94961,100000,-66.92994867820396,-66.95233428393288,0.022385605728928226
03_Formamide_dimer,5,-66.96157448272704,-66.93832491760254,0.02324956512451172,7.168717313841149e-05,6.696651995947918e-05,9.875331625924397e-05,94954,100000,-66.95176508136296,-66.97619963990371,0.024434558540747275
04_Uracil_dimer_h-bonded,3,-154.20519004211425,-154.180151071167,0.025038970947265624,0.00020948773493878887,0.00020420697980420578,0.0002913888267856243,57272,62309,-154.26621595947123,-154.29218178720262,0.02596582773139744
04_Uracil_dimer_h-bonded,5,-154.2346290740967,-154.21295671081543,0.02167236328125,0.00014392315983612978,0.00013653102417158383,0.00019975009561478917,94945,100000,-154.25410775601537,-154.28581802034273,0.03171026432735857
05_Methane_dimer,3,-16.1734390283884,-16.172880188700194,0.0005588396882061268,4.967267872893268e-05,4.7522723480226144e-05,6.874910636419785e-05,42617,47649,-16.171107997290743,-16.17162268615941,0.0005146888686660134
05_Methane_dimer,5,-16.17572134747349,-16.175036026225854,0.0006853212476413752,1.9575438998865507e-05,1.8341115456434922e-05,2.701467942165233e-05,44929,50000,-16.176240948559787,-16.177147687256937,0.000906738697150189
06_Ethene_dimer,3,-27.463141449680855,-27.461719983448152,0.0014214662327023432,7.842307138027221e-05,8.055512344612393e-05,0.0001120480377167149,59533,64564,-27.445542232027147,-27.447217978723327,0.0016757466961792034
06_Ethene_dimer,5,-27.46830562667204,-27.46662999677796,0.0016756298940810226,3.84556216402874e-05,3.742462527677206e-05,5.389290552864303e-05,44944,50000,-27.47238949105482,-27.474655436423742,0.0022659453689222175
07_Uracil_dimer_stack,3,-154.18484054260253,-154.18009738769533,0.004743154907226562,0.00020655960214341167,0.00020849296357043398,0.0002920516176956432,44670,49709,-154.2871221561425,-154.3069065333646,0.01978437722212334
07_Uracil_dimer_stack,5,-154.21746998291016,-154.20649538269043,0.010974600219726563,0.00014503072612565107,0.0001522300978090603,0.000209203520773979,91178,96244,-154.22751657984014,-154.24220773326135,0.014691153421210856
08_Ethene-ethyne_complex,3,-26.210343305081672,-26.207911694051766,0.002431611029908143,7.99558018336027e-05,7.998432698996784e-05,0.00011432177239392352,37057,42097,-26.188507011190197,-26.19031009788806,0.0018030866978619997
08_Ethene-ethyne_complex,5,-26.216062663798063,-26.21400395891116,0.002058704886898122,3.782885560963246e-05,3.779949771586255e-05,5.3915075167179326e-05,44947,49999,-26.21734291856567,-26.219768963818805,0.00242604525313439
09_Benzene-water_complex,3,-54.927470864105224,-54.923001567077634,0.004469297027587913,0.00011810983773608191,0.00012095811562414702,0.00016896762852857693,94955,100000,-54.89086828228462,-54.89645108199479,0.005582799710168729
09_Benzene-water_complex,5,-54.93881607513428,-54.93404322814941,0.004772846984863307,6.43750774965593e-05,6.609901931655479e-05,9.236105289847125e-05,94916,99999,-54.947061560177104,-54.95222269553364,0.005161135356537727
10_Benzene_dimer_T-shaped,3,-75.32920673951928,-75.3269198475295,0.0022868919897907746,0.00017032510210526013,0.0001670215366066114,0.00023715434056340205,44961,50000,-75.33036332037621,-75.33328648731094,0.0029231669347353773
10_Benzene_dimer_T-shaped,5,-75.35966581878662,-75.35623542938232,0.003430389404296875,8.997682418130234e-05,9.112870894309933e-05,0.00012755155705586834,69937,75000,-75.37928211420366,-75.38288717866939,0.003605064465730834
10_Benzene_dimer_T-shaped,7,-75.36118956756592,-75.35712973480224,0.004059832763671875,8.723201527292406e-05,8.849176772545926e-05,0.00012373672754770648,69933,75000,-75.36911823543035,-75.37367517649051,0.004556941060158692
11_Phenol_dimer,3,-107.419702885437,-107.41540476074219,0.0042981246948245,0.0001902712524911002,0.0001899172604986863,0.00026950796046045,56952,62006,-107.57731988500962,-107.59226763014972,0.01494774514010544
11_Phenol_dimer,5,-107.45134160461426,-107.43860748291016,0.012734121704101563,0.0001140293306002812,0.00012113675796574288,0.00016572306675619275,94945,100000,-107.46004427829493,-107.47185894142082,0.011814663125889524
