n_carbon,cutoff,batch_size,opt_batch_size,burnin/t_step,opt/t_step,model
16,3.0,32,8,0.16623499616980553,0.24739060923457146,FiRE
16,3.0,32,16,0.17216801643371582,0.23870818689465523,FiRE
16,3.0,32,32,0.16958311572670937,0.23212634772062302,FiRE
16,3.0,64,8,0.2173420824110508,0.350369393825531,FiRE
16,3.0,64,16,0.21466627717018127,0.33200856298208237,FiRE
16,3.0,64,32,0.21602356806397438,0.3318041041493416,FiRE
16,3.0,64,64,0.2140572890639305,0.32189004495739937,FiRE
16,3.0,128,8,0.2780993990600109,0.5644348487257957,FiRE
16,3.0,128,16,0.2802932746708393,0.5164318904280663,FiRE
16,3.0,128,32,0.2865777760744095,0.5022103451192379,FiRE
16,3.0,128,64,0.29088545218110085,0.5014641545712948,FiRE
16,3.0,256,8,0.43213291838765144,0.9910435378551483,FiRE
16,3.0,256,16,0.43397601693868637,0.8985322155058384,FiRE
16,3.0,256,32,0.4605776183307171,0.8913781121373177,FiRE
16,3.0,256,64,0.4259418398141861,0.8445614874362946,FiRE
16,3.0,512,8,0.7620177529752254,1.884833637624979,FiRE
16,3.0,512,16,0.7683675177395344,1.7059511616826057,FiRE
16,3.0,512,32,0.7656080722808838,1.621400598436594,FiRE
16,3.0,512,64,0.761225737631321,1.6167005226016045,FiRE
18,3.0,32,8,0.1920967847108841,0.2693316079676151,FiRE
18,3.0,32,16,0.18883724883198738,0.2575230598449707,FiRE
18,3.0,32,32,0.19152025878429413,0.25381532683968544,FiRE
18,3.0,64,8,0.24177279323339462,0.4008764587342739,FiRE
18,3.0,64,16,0.23554371669888496,0.3661789149045944,FiRE
18,3.0,64,32,0.2420680783689022,0.3638055995106697,FiRE
18,3.0,64,64,0.23984626308083534,0.3577938713133335,FiRE
18,3.0,128,8,0.32204967737197876,0.626585066318512,FiRE
18,3.0,128,16,0.31931859254837036,0.5788164176046848,FiRE
18,3.0,128,32,0.33148180693387985,0.565746434032917,FiRE
18,3.0,128,64,0.3209538124501705,0.5422193259000778,FiRE
18,3.0,256,8,0.505028311163187,1.111761700361967,FiRE
18,3.0,256,16,0.4684513285756111,0.9769430756568909,FiRE
18,3.0,256,32,0.476506732404232,0.943245779722929,FiRE
18,3.0,256,64,0.50603187084198,0.9465661197900772,FiRE
18,3.0,512,8,0.9183115735650063,2.133846629410982,FiRE
18,3.0,512,16,0.8588472045958042,1.8604512363672256,FiRE
18,3.0,512,32,0.9074808582663536,1.8257051184773445,FiRE
18,3.0,512,64,0.854938667267561,1.7433507330715656,FiRE
21,3.0,32,8,0.23185037076473236,0.3348791114985943,FiRE
21,3.0,32,16,0.22987719625234604,0.31844512373209,FiRE
21,3.0,32,32,0.2272263579070568,0.30194342508912086,FiRE
21,3.0,64,8,0.2838687375187874,0.47367236390709877,FiRE
21,3.0,64,16,0.27597445622086525,0.4460742399096489,FiRE
21,3.0,64,32,0.2818020284175873,0.436008308082819,FiRE
21,3.0,64,64,0.27876751497387886,0.423803448677063,FiRE
21,3.0,128,8,0.38189827650785446,0.7562689892947674,FiRE
21,3.0,128,16,0.38813815265893936,0.7056949138641357,FiRE
21,3.0,128,32,0.38238056376576424,0.6701871827244759,FiRE
21,3.0,128,64,0.3771557956933975,0.6480352021753788,FiRE
21,3.0,256,8,0.6165774129331112,1.3365764506161213,FiRE
21,3.0,256,16,0.5734255127608776,1.2031826078891754,FiRE
21,3.0,256,32,0.5808681435883045,1.1585624478757381,FiRE
21,3.0,256,64,0.5822780691087246,1.1031633131206036,FiRE
21,3.0,512,8,0.9816895239055157,2.4283562302589417,FiRE
21,3.0,512,16,1.0601692982017994,2.3385358080267906,FiRE
21,3.0,512,32,1.0475476495921612,2.20946254581213,FiRE
21,3.0,512,64,1.0515503622591496,2.1340574510395527,FiRE
24,3.0,32,8,0.2619827836751938,0.3765926882624626,FiRE
24,3.0,32,16,0.28465360775589943,0.39798302948474884,FiRE
24,3.0,32,32,0.28358984366059303,0.37385664507746696,FiRE
24,3.0,64,8,0.3506883457303047,0.557131327688694,FiRE
24,3.0,64,16,0.3232310116291046,0.5076769515872002,FiRE
24,3.0,64,32,0.3230006545782089,0.511240940541029,FiRE
24,3.0,64,64,0.3264486938714981,0.4970327541232109,FiRE
24,3.0,128,8,0.4760768227279186,0.9166573137044907,FiRE
24,3.0,128,16,0.47111766412854195,0.8609921187162399,FiRE
24,3.0,128,32,0.47196509689092636,0.8373006619513035,FiRE
24,3.0,128,64,0.4724986366927624,0.7815536148846149,FiRE
24,3.0,256,8,0.7305584140121937,1.5798534415662289,FiRE
24,3.0,256,16,0.7716428078711033,1.5514274053275585,FiRE
24,3.0,256,32,0.7298598289489746,1.4403329007327557,FiRE
24,3.0,256,64,0.7280519343912601,1.3884425610303879,FiRE
24,3.0,512,8,1.32857047021389,3.079493038356304,FiRE
24,3.0,512,16,1.3231612592935562,2.8776855133473873,FiRE
24,3.0,512,32,1.3290830589830875,2.77320384606719,FiRE
