model,n_carbon,batch_size,opt/t_step,burnin/t_step
lapnet,24,1,0.20825,0.16032
psiformer,24,1,0.212252,0.143819
ferminet,24,1,0.127719,0.097432
ferminet,24,2,0.14429,0.104455
lapnet,24,2,0.221411,0.167619
psiformer,24,2,0.225941,0.146546
psiformer,24,4,0.257917,0.154122
lapnet,24,4,0.245369,0.174028
ferminet,24,4,0.169266,0.110935
ferminet,24,8,0.226329,0.126987
lapnet,24,8,0.29907,0.197441
psiformer,24,8,0.325639,0.173001
ferminet,24,16,0.354913,0.169967
psiformer,24,16,0.467919,0.218241
lapnet,24,16,0.421092,0.253747
lapnet,24,32,0.676313,0.37743
ferminet,24,32,0.929527,0.266483
psiformer,24,32,0.796872,0.32391
psiformer,25,1,0.222172,0.151021
lapnet,25,1,0.214785,0.167673
ferminet,25,1,0.134879,0.102521
psiformer,25,2,0.23672,0.153606
ferminet,25,2,0.151702,0.109294
lapnet,25,2,0.230428,0.175104
lapnet,25,4,0.256017,0.182737
ferminet,25,4,0.181601,0.118109
psiformer,25,4,0.273373,0.162784
psiformer,25,8,0.345697,0.181515
lapnet,25,8,0.315063,0.207335
ferminet,25,8,0.244473,0.136662
ferminet,25,16,0.382516,0.181257
psiformer,25,16,0.497823,0.228668
lapnet,25,16,0.442022,0.265803
lapnet,25,32,0.718384,0.398629
ferminet,25,32,1.039378,0.288472
psiformer,25,32,0.85003,0.34092
psiformer,27,1,0.247404,0.169079
ferminet,27,1,0.151704,0.11528
lapnet,27,1,0.236358,0.187086
lapnet,27,2,0.253802,0.195378
ferminet,27,2,0.170379,0.122868
psiformer,27,2,0.265557,0.172418
lapnet,27,4,0.291045,0.209515
ferminet,27,4,0.208425,0.134573
psiformer,27,4,0.310125,0.185671
lapnet,27,8,0.364595,0.242493
psiformer,27,8,0.401153,0.210602
ferminet,27,8,0.292598,0.164669
ferminet,27,16,0.707227,0.22465
psiformer,27,16,0.587663,0.26886
lapnet,27,16,0.520239,0.317049
lapnet,27,32,0.852586,0.481449
ferminet,27,32,1.293499,0.355119
psiformer,27,32,1.012154,0.411236
ferminet,29,1,0.180179,0.139563
lapnet,29,1,0.268222,0.217167
psiformer,29,1,0.284021,0.197843
ferminet,29,2,0.204048,0.150165
lapnet,29,2,0.291517,0.228511
psiformer,29,2,0.309074,0.205762
ferminet,29,4,0.2555,0.172624
lapnet,29,4,0.336286,0.248833
psiformer,29,4,0.365639,0.224351
lapnet,29,8,0.433015,0.299361
psiformer,29,8,0.48114,0.263696
ferminet,29,8,0.366286,0.21428
lapnet,29,16,0.635526,0.40339
psiformer,29,16,0.717105,0.346891
ferminet,29,16,0.894733,0.301365
lapnet,29,32,1.080038,0.607977
ferminet,29,32,,0.484766
psiformer,29,32,1.279514,0.532138
psiformer,32,1,0.346984,0.248235
ferminet,32,1,0.231931,0.178934
lapnet,32,1,0.323643,0.268454
lapnet,32,2,0.353695,0.281703
ferminet,32,2,0.254473,0.191655
psiformer,32,2,0.381259,0.257139
lapnet,32,4,0.412279,0.307989
ferminet,32,4,0.324827,0.217724
psiformer,32,4,0.4561,0.27843
ferminet,32,8,0.470883,0.273646
lapnet,32,8,0.554028,0.387572
psiformer,32,8,0.643046,0.34795
ferminet,32,16,1.194592,0.385598
psiformer,32,16,1.056226,0.488599
lapnet,32,16,0.846129,0.542135
ferminet,32,32,,0.635431
psiformer,32,32,1.817345,0.761761
lapnet,32,32,1.469348,0.846968
lapnet,34,1,0.354535,0.295918
ferminet,34,1,0.260556,0.198756
psiformer,34,1,0.38019,0.27217
lapnet,34,2,0.388273,0.311742
psiformer,34,2,0.421967,0.284388
ferminet,34,2,0.307802,0.246628
lapnet,34,4,0.451169,0.337843
psiformer,34,4,0.509169,0.309892
ferminet,34,4,0.368078,0.24553
psiformer,34,8,0.719039,0.384248
lapnet,34,8,0.615987,0.428336
ferminet,34,8,0.537053,0.307701
lapnet,34,16,0.940944,0.600282
psiformer,34,16,1.157936,0.537302
ferminet,34,16,1.435803,0.441796
psiformer,34,32,2.077458,0.867533
lapnet,34,32,1.686934,0.971448
ferminet,34,32,,0.730788
ferminet,38,1,0.35076,0.267188
psiformer,38,1,0.483388,0.353898
lapnet,38,1,0.441133,0.378234
psiformer,38,2,0.538954,0.371305
lapnet,38,2,0.489465,0.400743
ferminet,38,2,0.378705,0.290689
ferminet,38,4,0.491859,0.332163
lapnet,38,4,0.573811,0.438266
psiformer,38,4,0.657483,0.408801
lapnet,38,8,0.776246,0.545336
ferminet,38,8,0.716675,0.415082
psiformer,38,8,0.926728,0.500563
ferminet,38,16,,0.593598
lapnet,38,16,1.191349,0.763355
psiformer,38,16,1.498434,0.701343
ferminet,38,32,,0.981042
psiformer,38,32,2.662079,1.097494
lapnet,38,32,2.134092,1.214299
psiformer,41,1,0.549064,0.405588
lapnet,41,1,0.499319,0.429637
ferminet,41,1,0.414026,0.313
lapnet,41,2,0.553875,0.456728
psiformer,41,2,0.62239,0.427783
ferminet,41,2,0.448426,0.345196
psiformer,41,4,0.767019,0.473207
ferminet,41,4,0.585071,0.392461
lapnet,41,4,0.665564,0.511081
lapnet,41,8,0.912585,0.643527
psiformer,41,8,1.090092,0.585725
ferminet,41,8,1.41328,0.497971
psiformer,41,16,1.763371,0.816449
lapnet,41,16,1.41456,0.908613
ferminet,41,16,,0.723775
psiformer,41,32,3.2126,1.320177
lapnet,41,32,2.554021,1.44995
ferminet,41,32,,1.212794
ferminet,45,1,0.484882,0.407708
psiformer,45,1,0.68655,0.515406
lapnet,45,1,0.621115,0.54446
ferminet,45,2,0.577091,0.447871
psiformer,45,2,0.774865,0.542109
lapnet,45,2,0.688028,0.574738
ferminet,45,4,0.754672,0.513105
lapnet,45,4,0.828081,0.645833
psiformer,45,4,0.96028,0.598002
lapnet,45,8,1.133885,0.804125
psiformer,45,8,1.376535,0.742673
ferminet,45,8,1.79448,0.648949
lapnet,45,16,1.815613,1.10978
ferminet,45,16,,0.92952
psiformer,45,16,2.299254,1.025103
ferminet,45,32,,1.535922
psiformer,45,32,,1.629683
lapnet,45,32,3.14116,1.768306
ferminet,49,1,0.613332,0.521105
lapnet,49,1,0.755557,0.669681
psiformer,49,1,0.832337,0.632269
psiformer,49,2,0.947443,0.668257
ferminet,49,2,0.725643,0.569161
lapnet,49,2,0.837356,0.707634
lapnet,49,4,1.00782,0.790531
psiformer,49,4,1.188311,0.744577
ferminet,49,4,0.95118,0.649816
lapnet,49,8,1.373778,0.974379
ferminet,49,8,,0.821753
psiformer,49,8,1.679184,0.904446
lapnet,49,16,2.21457,1.346547
psiformer,49,16,2.790156,1.242214
ferminet,49,16,,1.176696
lapnet,49,32,,2.187729
psiformer,49,32,,2.003292
ferminet,49,32,,1.937594
psiformer,53,1,1.016436,0.779778
lapnet,53,1,0.909803,0.815515
ferminet,53,1,0.759406,0.650895
lapnet,53,2,1.022624,0.873896
ferminet,53,2,0.913395,0.715881
psiformer,53,2,1.162693,0.826807
ferminet,53,4,1.184486,0.811807
psiformer,53,4,1.44007,0.90735
lapnet,53,4,1.223043,0.967818
psiformer,53,8,2.00754,1.099174
ferminet,53,8,,1.029641
lapnet,53,8,1.652301,1.176454
psiformer,53,16,3.396745,1.507196
ferminet,53,16,,1.44922
lapnet,53,16,2.655258,1.602897
lapnet,53,32,,2.660089
psiformer,53,32,,2.421954
ferminet,53,32,,2.405121
ferminet,58,1,0.879991,0.85029
psiformer,58,1,1.274285,0.987853
lapnet,58,1,1.143796,1.030763
psiformer,58,2,1.457433,1.04893
lapnet,58,2,1.282399,1.108212
ferminet,58,2,1.179534,0.931526
psiformer,58,4,1.836094,1.173848
ferminet,58,4,1.432672,1.070073
lapnet,58,4,1.561464,1.249372
lapnet,58,8,2.105198,1.519251
psiformer,58,8,2.579129,1.426125
ferminet,58,8,,1.369886
ferminet,58,16,,1.908355
psiformer,58,16,,1.93117
lapnet,58,16,3.387975,2.076843
psiformer,58,32,,3.15791
ferminet,58,32,,3.225718
lapnet,58,32,,3.439711
psiformer,63,1,1.568438,1.222257
lapnet,63,1,1.398786,1.265607
psiformer,63,2,1.796927,1.300075
lapnet,63,2,1.561198,1.359804
psiformer,63,4,2.258749,1.446386
lapnet,63,4,1.885012,1.512157
psiformer,63,8,,1.737253
lapnet,63,8,2.569789,1.859548
lapnet,63,16,,2.548396
psiformer,63,16,,2.370137
psiformer,63,32,,4.017464
lapnet,63,32,,4.314661
psiformer,68,1,2.04002,1.619936
lapnet,68,1,1.836454,1.673707
ferminet,68,1,1.46417,1.449492
ferminet,68,2,1.778427,1.596052
psiformer,68,2,2.322221,1.710731
lapnet,68,2,2.057594,1.796068
lapnet,68,4,2.489095,2.007867
ferminet,68,4,,1.842497
psiformer,68,4,2.996527,1.937574
ferminet,68,8,,2.280362
psiformer,68,8,,2.29903
lapnet,68,8,3.49403,2.418869
ferminet,74,1,1.869193,1.850296
psiformer,74,1,2.537183,2.022105
lapnet,74,1,2.27367,2.080479
lapnet,74,2,2.530164,2.217649
ferminet,74,2,,1.992167
psiformer,74,2,2.893901,2.151088
lapnet,74,4,3.079016,2.494974
ferminet,74,4,,2.307901
psiformer,74,4,3.729211,2.419309
lapnet,74,8,,2.979382
psiformer,74,8,,2.870299
ferminet,74,8,,2.879983
ferminet,81,1,2.489176,2.457548
psiformer,81,1,3.303261,2.67219
lapnet,81,1,2.986195,2.748695
lapnet,81,2,3.323574,2.936004
psiformer,81,2,3.777723,2.835805
ferminet,81,2,,2.680394
lapnet,81,4,3.997886,3.264994
psiformer,81,4,,3.191715
ferminet,81,4,,3.112805
ferminet,81,8,,3.853061
lapnet,81,8,,3.905427
psiformer,81,8,,3.745473
psiformer,88,1,4.308916,3.527202
ferminet,88,1,3.332459,3.309533
ferminet,88,2,,3.582364
psiformer,88,2,4.921941,3.745884
ferminet,88,4,,4.098615
psiformer,88,4,,4.150787
psiformer,88,8,,4.840032
ferminet,88,8,,5.023384
ferminet,96,1,,4.643857
lapnet,96,1,5.342631,4.954134
psiformer,96,1,5.835469,4.84974
psiformer,96,2,6.053859,5.246727
ferminet,96,2,,5.026673
lapnet,96,2,5.956542,5.329286
psiformer,96,4,,5.791239
ferminet,96,4,,5.694216
lapnet,96,4,,5.885645
ferminet,96,8,,7.088098
lapnet,96,8,,7.301495
psiformer,96,8,,7.132303
psiformer,99,1,6.252999,5.164183
lapnet,99,1,5.620682,5.217813
ferminet,99,1,,4.922985
ferminet,99,2,,5.360081
psiformer,99,2,6.351277,5.546891
lapnet,99,2,6.307274,5.632174
psiformer,99,4,,6.119795
ferminet,99,4,,6.075847
lapnet,99,4,,6.303708
lapnet,99,8,,7.809391
ferminet,99,8,,7.633218
psiformer,99,8,,7.624787
ferminet,105,1,,6.084904
psiformer,105,1,7.573031,6.32434
lapnet,105,1,6.933439,6.468683
psiformer,105,2,,6.781238
lapnet,105,2,6.69089,6.853564
ferminet,105,2,,6.600963
ferminet,105,4,,7.457933
lapnet,105,4,,7.679277
psiformer,105,4,,7.539132
psiformer,105,8,,9.231866
lapnet,105,8,,9.379564
ferminet,105,8,,9.266568
psiformer,114,1,9.905375,8.290099
ferminet,114,1,,8.031976
lapnet,114,1,8.985193,8.415533
psiformer,114,2,,8.905917
ferminet,114,2,,8.731325
lapnet,114,2,,8.998849
ferminet,114,4,,9.858465
psiformer,114,4,,9.87526
lapnet,114,4,,10.026824
ferminet,114,8,,
lapnet,114,8,,12.851871
psiformer,114,8,,12.510343
psiformer,124,1,13.367136,11.218549
ferminet,124,1,,10.863174
lapnet,124,1,10.522819,11.307827
psiformer,124,2,,11.879647
lapnet,124,2,,11.993589
ferminet,124,2,,11.760096
lapnet,124,4,,13.203503
psiformer,124,4,,12.984174
ferminet,124,4,,13.17762
ferminet,124,8,,
psiformer,124,8,,17.468053
lapnet,124,8,,18.025867
