model,operation,system_size,batch_size,t
FiRE,wf_lowrank,16,1024,0.0039829947496764365
FiRE,wf_lowrank,17,1024,0.0042498032911680635
FiRE,wf_lowrank,19,1024,0.004528075519483536
FiRE,wf_lowrank,21,1024,0.004865251060109586
FiRE,wf_lowrank,23,1024,0.004970809291116893
FiRE,wf_lowrank,24,1024,0.005707632598932833
FiRE,wf_lowrank,25,1024,0.006125229073222727
FiRE,wf_lowrank,27,1024,0.006614620104664936
FiRE,wf_lowrank,29,1024,0.007444491278147325
FiRE,wf_lowrank,32,1024,0.009182442625751719
FiRE,wf_lowrank,34,1024,0.009738188527990133
FiRE,wf_lowrank,38,1024,0.011556663701776415
FiRE,wf_lowrank,41,1024,0.009727352921618148
FiRE,wf_lowrank,45,1024,0.010727412858977914
FiRE,wf_lowrank,49,1024,0.011620587145444006
FiRE,wf_lowrank,53,1024,0.012656283157411963
FiRE,wf_lowrank,58,1024,0.01438360740430653
FiRE,wf_lowrank,63,1024,0.01565741915255785
FiRE,wf_lowrank,68,1024,0.018701018905267118
FiRE,wf_lowrank,74,1024,0.021310588158667088
FiRE,wf_lowrank,81,512,0.01238279395038262
FiRE,wf_lowrank,88,512,0.014139622496441007
FiRE,wf_lowrank,96,512,0.016617568396031856
FiRE,wf_lowrank,99,256,0.009008336148690432
FiRE,wf_lowrank,105,256,0.009795820049475878
FiRE,wf_lowrank,114,256,0.010951343202032148
FiRE,wf_lowrank,124,128,0.0063848794263321905
FiRE,wf_full,16,1024,0.025551711244042964
FiRE,wf_full,17,1024,0.027180614601820707
FiRE,wf_full,19,1024,0.03056596899405122
FiRE,wf_full,21,1024,0.0343468165025115
FiRE,wf_full,23,1024,0.03867523079970851
FiRE,wf_full,24,1024,0.040301330748479816
FiRE,wf_full,25,1024,0.04238590814638883
FiRE,wf_full,27,1024,0.046758923900779334
FiRE,wf_full,29,1024,0.05185915660113096
FiRE,wf_full,32,1024,0.05985648114001378
FiRE,wf_full,34,1024,0.06576172899222002
FiRE,wf_full,38,1024,0.07857597189722583
FiRE,wf_full,41,1024,0.08852550825104118
FiRE,wf_full,45,1024,0.10254585549701005
FiRE,wf_full,49,1024,0.11923989469651133
FiRE,wf_full,53,1024,0.13618004560703412
FiRE,wf_full,58,1024,0.16027363560860977
FiRE,wf_full,63,1024,0.17456157049164175
FiRE,wf_full,68,1024,0.21758124124025927
FiRE,wf_full,74,1024,0.2557144102989696
FiRE,wf_full,81,512,0.15045200404711068
FiRE,wf_full,88,512,0.17803845179732888
FiRE,wf_full,96,512,0.22190782229881734
FiRE,wf_full,99,256,0.11973264894913882
FiRE,wf_full,105,256,0.13744471319951118
FiRE,wf_full,114,256,0.16299909140216187
FiRE,wf_full,124,128,0.09355048096040264
FiRE,E_kin,16,1024,0.26673544594086707
FiRE,E_kin,17,1024,0.2831283509731293
FiRE,E_kin,19,1024,0.3195890800561756
FiRE,E_kin,21,1024,0.35631449916400015
FiRE,E_kin,23,1024,0.4160471057984978
FiRE,E_kin,24,1024,0.4283039690926671
FiRE,E_kin,25,1024,0.4492069031111896
FiRE,E_kin,27,1024,0.4872365209739655
FiRE,E_kin,29,1024,0.5429753239732236
FiRE,E_kin,32,1024,0.6451310759875923
FiRE,E_kin,34,1024,0.7184461718425155
FiRE,E_kin,38,512,0.41154071199707687
FiRE,E_kin,41,512,0.448777083074674
FiRE,E_kin,45,512,0.5187204841058701
FiRE,E_kin,49,512,0.6229888570960611
FiRE,E_kin,53,256,0.33271994022652507
FiRE,E_kin,58,256,0.3826303870882839
FiRE,E_kin,63,256,0.42606447893194854
FiRE,E_kin,68,256,0.5125773488543928
FiRE,E_kin,74,256,0.614185675047338
FiRE,E_kin,81,128,0.34421619307249784
FiRE,E_kin,88,128,0.40667157992720604
FiRE,E_kin,96,128,0.4899400861468166
FiRE,E_kin,99,128,0.5416360951494426
FiRE,E_kin,105,128,0.5975156270433217
FiRE,E_kin,114,128,0.6971397818997502
FiRE,E_kin,124,64,0.4232787829823792
FiRE,E_kin_dense,16,32,0.09793832958675922
FiRE,E_kin_dense,17,32,0.10756812000181526
FiRE,E_kin_dense,19,32,0.13390785199590027
FiRE,E_kin_dense,21,32,0.1598953320644796
FiRE,E_kin_dense,23,16,0.09612540039233863
FiRE,E_kin_dense,24,16,0.14821099746041
FiRE,E_kin_dense,25,16,0.11964988452382386
FiRE,E_kin_dense,27,16,0.13682998239528388
FiRE,E_kin_dense,29,16,0.16455137496814132
FiRE,E_kin_dense,32,16,0.2736296209041029
FiRE,E_kin_dense,34,8,0.15558295894879848
FiRE,E_kin_dense,38,8,0.19783616298809648
FiRE,E_kin_dense,41,8,0.23005668283440173
FiRE,E_kin_dense,45,8,0.2835937622003257
FiRE,E_kin_dense,49,4,0.17069202940911055
FiRE,E_kin_dense,53,4,0.20497921109199524
FiRE,E_kin_dense,58,4,0.25395215884782374
FiRE,E_kin_dense,63,4,0.22203030483797193
FiRE,E_kin_dense,68,2,0.18878652749117464
lapnet,wf_full,16,4096,0.09920533109689131
lapnet,wf_full,17,4096,0.10443016794743017
lapnet,wf_full,19,4096,0.11665359900798648
lapnet,wf_full,21,4096,0.13060463934671135
lapnet,wf_full,23,4096,0.14566195395309478
lapnet,wf_full,24,4096,0.15426787385949864
lapnet,wf_full,25,4096,0.16107709564967082
lapnet,wf_full,27,4096,0.17601297949440778
lapnet,wf_full,29,4096,0.22776302499696613
lapnet,wf_full,32,4096,0.3113591233966872
lapnet,wf_full,34,4096,0.34288652485702187
lapnet,wf_full,38,4096,0.40371349989436567
lapnet,wf_full,41,4096,0.45153755919309335
lapnet,wf_full,45,4096,0.5229938153061084
lapnet,wf_full,49,4096,0.6019298932515085
lapnet,wf_full,53,4096,0.681692033901345
lapnet,wf_full,58,4096,0.8082224111538381
lapnet,wf_full,63,4096,0.9163450089516119
lapnet,wf_full,68,4096,1.1907373880036176
lapnet,wf_full,74,4096,1.3877907942049206
lapnet,wf_full,81,4096,1.6164047167403623
lapnet,wf_full,88,4096,1.8979031297960318
lapnet,wf_full,96,4096,2.490301439957693
lapnet,wf_full,99,4096,2.617281067103613
lapnet,wf_full,105,2048,1.470313904096838
lapnet,wf_full,114,2048,1.7327950985985807
lapnet,wf_full,124,2048,1.994537290558219
lapnet,E_kin,16,256,0.7607803689315915
lapnet,E_kin,17,256,0.8447328170295805
lapnet,E_kin,19,256,1.0687402291223407
lapnet,E_kin,21,128,0.6590196541510522
lapnet,E_kin,23,128,0.7943233109544963
lapnet,E_kin,24,128,0.8774654609151185
lapnet,E_kin,25,128,0.9468649269547313
lapnet,E_kin,27,128,1.1189636019989848
lapnet,E_kin,29,64,0.6422035819850862
lapnet,E_kin,32,64,0.8518384399358183
lapnet,E_kin,34,64,0.9696613179985434
lapnet,E_kin,38,32,0.6177139980718493
lapnet,E_kin,41,32,0.7434544211719185
lapnet,E_kin,45,32,0.915984938852489
lapnet,E_kin,49,16,0.5554239090997726
lapnet,E_kin,53,16,0.6666561409365386
lapnet,E_kin,58,16,0.8355977081228048
lapnet,E_kin,63,8,0.49619713705033064
lapnet,E_kin,68,8,0.6590128371026367
lapnet,E_kin,74,4,0.4040465750731528
lapnet,E_kin,81,4,0.505356403067708
lapnet,E_kin,88,4,0.6264286399818957
lapnet,E_kin,96,2,0.419722642051056
lapnet,E_kin,99,2,0.44565211283043027
lapnet,E_kin,105,2,0.5228314490523189
lapnet,E_kin,114,1,0.3217721881810576
lapnet,E_kin,124,1,0.3933272559661418
ferminet,wf_full,16,4096,0.06214489489793777
ferminet,wf_full,17,4096,0.06673206749837846
ferminet,wf_full,19,4096,0.07790540830465034
ferminet,wf_full,21,4096,0.09186941845109686
ferminet,wf_full,23,4096,0.10498122799908742
ferminet,wf_full,24,4096,0.11550753149203956
ferminet,wf_full,25,4096,0.12265229150652886
ferminet,wf_full,27,4096,0.13813036089995875
ferminet,wf_full,29,4096,0.19147385311080142
ferminet,wf_full,32,4096,0.2325045136967674
ferminet,wf_full,34,4096,0.2665508130914532
ferminet,wf_full,38,4096,0.3321749006514437
ferminet,wf_full,41,4096,0.3848084129975177
ferminet,wf_full,45,4096,0.46672167265787723
ferminet,wf_full,49,2048,0.2799151416984387
ferminet,wf_full,53,2048,0.32539228548994287
ferminet,wf_full,58,2048,0.39730601795017717
ferminet,wf_full,63,2048,0.45516769249225036
ferminet,wf_full,68,2048,0.5783450286020525
ferminet,wf_full,74,1024,0.34711480505065995
ferminet,wf_full,81,1024,0.41409455265384165
ferminet,wf_full,88,1024,0.495187812356744
ferminet,wf_full,96,1024,0.6364577332511544
ferminet,wf_full,99,512,0.334160843200516
ferminet,wf_full,105,512,0.38118099039420483
ferminet,wf_full,114,512,0.4582254091510549
ferminet,wf_full,124,512,0.5389498171047308
psiformer,wf_full,16,4096,0.08378611980006098
psiformer,wf_full,17,4096,0.08824126524850726
psiformer,wf_full,19,4096,0.09893186449771747
psiformer,wf_full,21,4096,0.11098208850016818
psiformer,wf_full,23,4096,0.12432139614829793
psiformer,wf_full,24,4096,0.13173844905104487
psiformer,wf_full,25,4096,0.13764549375046045
psiformer,wf_full,27,4096,0.15109441780950875
psiformer,wf_full,29,4096,0.20057977645192296
psiformer,wf_full,32,4096,0.2832235465990379
psiformer,wf_full,34,4096,0.31296762579586357
psiformer,wf_full,38,4096,0.3702198019018397
psiformer,wf_full,41,4096,0.4150722143938765
psiformer,wf_full,45,4096,0.4829801714513451
psiformer,wf_full,49,4096,0.5586317657027393
psiformer,wf_full,53,4096,0.6342407866497524
psiformer,wf_full,58,4096,0.7562974016997032
psiformer,wf_full,63,4096,0.8574490781524219
psiformer,wf_full,68,4096,1.1321603380492888
psiformer,wf_full,74,4096,1.322166007454507
psiformer,wf_full,81,4096,1.5456196356914007
psiformer,wf_full,88,4096,1.8186912038014271
psiformer,wf_full,96,4096,2.408162841142621
psiformer,wf_full,99,2048,1.2660632898914628
psiformer,wf_full,105,2048,1.4255118093569763
psiformer,wf_full,114,2048,1.6823932612547652
psiformer,wf_full,124,2048,1.9386462289025075
psiformer,E_kin,16,256,1.263889746973291
psiformer,E_kin,17,128,0.7073594911489636
psiformer,E_kin,19,128,0.8942738950718194
psiformer,E_kin,21,128,1.1073843170888722
psiformer,E_kin,23,64,0.6833130219019949
psiformer,E_kin,24,64,0.7588363459799439
psiformer,E_kin,25,64,0.8222032689955086
psiformer,E_kin,27,64,0.9735605360474437
psiformer,E_kin,29,64,1.1345883358735591
psiformer,E_kin,32,32,0.8755725370720029
psiformer,E_kin,34,32,0.998333543073386
psiformer,E_kin,38,32,1.2837145898956805
psiformer,E_kin,41,32,1.5494465420488268
psiformer,E_kin,45,16,1.0194912899751216
psiformer,E_kin,49,16,1.226235792040825
psiformer,E_kin,53,16,1.4947853630874306
psiformer,E_kin,58,8,0.9972132979892194
psiformer,E_kin,63,4,0.7081120791845024
psiformer,E_kin,68,4,0.9338332810439169
psiformer,E_kin,74,4,1.1513761901296675
psiformer,E_kin,81,2,0.8189044271130115
psiformer,E_kin,88,2,1.0211179840844125
psiformer,E_kin,96,2,1.3761980989947915
psiformer,E_kin,99,2,1.4873476470820606
psiformer,E_kin,105,1,1.0632434419821948
psiformer,E_kin,114,1,1.3664630001876503
psiformer,E_kin,124,1,1.8057693948503584
ferminet,E_kin,16,128,0.42989066196605563
ferminet,E_kin,17,128,0.49044223688542843
ferminet,E_kin,19,64,0.6315694651566446
ferminet,E_kin,21,64,0.8441477359738201
ferminet,E_kin,23,32,0.2518517591524869
ferminet,E_kin,24,32,0.30018437607213855
ferminet,E_kin,25,32,0.3287176440935582
ferminet,E_kin,27,32,0.8850179379805923
ferminet,E_kin,29,16,0.23811723105609417
ferminet,E_kin,32,16,0.3145701279863715
ferminet,E_kin,34,16,0.36919665709137917
ferminet,E_kin,38,8,0.24580038618296385
ferminet,E_kin,41,8,0.305409946013242
ferminet,E_kin,45,8,0.38369425502605736
ferminet,E_kin,49,4,0.2446771569084376
ferminet,E_kin,53,4,0.30273616313934326
ferminet,E_kin,58,4,0.3871511910110712
ferminet,E_kin,63,2,0.23667287011630833
ferminet,E_kin,68,2,0.3097400900442153
ferminet,E_kin,74,1,0.20145462988875806
ferminet,E_kin,81,1,0.25565253500826657
ferminet,E_kin,88,1,0.32683831895701587
ferminet,wf_full,16,1024,0.015904644806869327
lapnet,wf_full,16,1024,0.02569858025526628
ferminet,wf_full,17,1024,0.01700581581098959
ferminet,wf_full,19,1024,0.019808068056590855
lapnet,wf_full,17,1024,0.026944123092107475
ferminet,wf_full,21,1024,0.023391868802718818
lapnet,wf_full,19,1024,0.030070348898880182
ferminet,wf_full,23,1024,0.02662920500151813
lapnet,wf_full,21,1024,0.03359404921066016
ferminet,wf_full,24,1024,0.029459077189676462
lapnet,wf_full,23,1024,0.03733409924898297
ferminet,wf_full,25,1024,0.03120168289169669
ferminet,wf_full,27,1024,0.03556119204731658
lapnet,wf_full,24,1024,0.03967518814606592
ferminet,wf_full,29,1024,0.04903781914617866
lapnet,wf_full,25,1024,0.0410936787026003
lapnet,wf_full,27,1024,0.04560931969899684
ferminet,wf_full,32,1024,0.05948895220644772
lapnet,wf_full,29,1024,0.058702375751454386
ferminet,wf_full,34,1024,0.06796074690064416
lapnet,wf_full,32,1024,0.07994534639874473
ferminet,wf_full,38,1024,0.08472122205421329
lapnet,wf_full,34,1024,0.08749080335255713
ferminet,wf_full,41,1024,0.0967876224545762
lapnet,wf_full,38,1024,0.10312517600832508
ferminet,wf_full,45,1024,0.11706589389359578
lapnet,wf_full,41,1024,0.11392490060534328
ferminet,wf_full,49,1024,0.14056873904773964
lapnet,wf_full,45,1024,0.13223155265441164
ferminet,wf_full,53,1024,0.16326071224175392
lapnet,wf_full,49,1024,0.15224105840316043
ferminet,wf_full,58,1024,0.19979772944934665
lapnet,wf_full,53,1024,0.17253074335167184
ferminet,wf_full,63,1024,0.22912558680400252
lapnet,wf_full,58,1024,0.2045066891470924
lapnet,wf_full,63,1024,0.2327389984508045
ferminet,wf_full,68,1024,0.2897361618583091
lapnet,wf_full,68,1024,0.3005293319001794
