system,method,gap_kcal_per_mol
naphthalene,exp,61.0
anthracene,exp,43.1
tetracene,exp,29.4
pentacene,exp,19.8
hexacene,exp,12.4
naphthalene,ZPE,-3.4
anthracene,ZPE,-2.3
tetracene,ZPE,-1.8
pentacene,ZPE,-1.5
hexacene,ZPE,-1.3
naphthalene,CCSD(T)/FPA,65.8
anthracene,CCSD(T)/FPA,48.2
tetracene,CCSD(T)/FPA,33.5
pentacene,CCSD(T)/FPA,25.3
hexacene,CCSD(T)/FPA,17.7
naphthalene,ACI-DSRG-MRPT2,62.2
anthracene,ACI-DSRG-MRPT2,43.2
tetracene,ACI-DSRG-MRPT2,28.3
pentacene,ACI-DSRG-MRPT2,18.0
hexacene,ACI-DSRG-MRPT2,11.4
naphthalene,AFQMC,68.0
anthracene,AFQMC,46.2
tetracene,AFQMC,34.0
pentacene,AFQMC,25.2
hexacene,AFQMC,
