step,E_HC_Ha,E_HS_Ha,E_HFe_Ha,E_HFe2_Ha
0,-321.3749,-322.394,-321.5009,-323.051
1,-321.9317,-322.7782,-322.0527,-322.3794
2,-322.462,-322.4161,-321.3262,-322.9713
3,-322.3333,-322.537,-322.1927,-323.0131
4,-323.1717,-322.8105,-322.2508,-322.8347
5,-322.6447,-322.381,-322.3887,-322.9787
6,-322.5728,-322.6813,-322.3206,-323.1111
7,-322.1683,-322.8618,-322.208,-323.3254
8,-323.0299,-323.2245,-322.6154,-322.9785
9,-323.0374,-323.3968,-322.5749,-323.8185
10,-323.4585,-323.4728,-322.9131,-323.6557
11,-323.9129,-323.6945,-323.2382,-323.8054
12,-323.6674,-323.7168,-323.7503,-323.796
13,-323.7534,-323.968,-323.4324,-323.9166
14,-324.1224,-324.3345,-323.5836,-324.1454
15,-324.3503,-324.0858,-323.5667,-323.773
16,-324.2112,-324.4094,-323.7787,-324.3538
17,-324.1517,-324.8399,-324.2856,-324.4669
18,-323.9292,-324.8025,-324.2499,-324.8534
19,-324.2218,-324.4685,-324.3557,-324.7943
20,-324.4969,-324.8382,-323.8725,-324.5984
21,-324.3668,-324.8424,-324.2403,-325.2197
22,-324.8531,-325.2261,-324.4204,-325.1309
23,-324.8486,-325.2431,-324.4038,-325.0497
24,-325.1056,-325.3652,-324.4803,-324.9366
25,-325.1093,-325.5772,-325.0137,-325.339
26,-325.2916,-325.783,-324.6472,-325.6544
27,-325.3184,-325.7776,-324.7248,-325.5378
28,-325.4386,-325.7649,-325.0025,-325.967
29,-325.5954,-325.9899,-325.1638,-325.7706
30,-325.6735,-325.7692,-325.1906,-326.0974
31,-325.8695,-326.1615,-325.1799,-326.2163
32,-325.909,-326.2462,-325.3383,-326.3454
33,-325.8682,-326.2869,-325.3307,-326.5006
34,-326.4258,-326.3865,-325.9101,-326.6222
35,-326.1287,-326.3081,-325.3904,-326.42
36,-326.3741,-326.51,-325.8097,-326.5474
37,-326.4169,-326.0984,-325.8946,-326.5628
38,-326.3903,-326.2975,-326.0581,-326.465
39,-326.4513,-326.7328,-326.3527,-326.679
40,-326.6447,-326.4527,-326.3667,-326.9045
41,-326.5349,-327.1479,-326.4111,-326.8991
42,-326.7514,-326.9301,-326.3998,-327.248
43,-326.7439,-326.8889,-325.9999,-327.3325
44,-327.0717,-327.1628,-326.823,-327.5244
45,-327.2494,-327.1578,-326.8185,-327.473
46,-327.1363,-326.8924,-327.1798,-327.2369
47,-327.2554,-327.5016,-326.9558,-327.4632
48,-326.8218,-327.6781,-326.5038,-327.5912
49,-327.0813,-327.4598,-327.1725,-327.3983
