step,E_neutral_Ha,E_charged_Ha,deltaE_raw_mHa,deltaE_cleaned_mHa
1,-181.4450115447617,-179.7411053351832,1703.9062095785198,1703.9062095785198
2,-186.051437479192,-179.7244119929954,6327.02548619659,6327.02548619659
3,-182.82694937288804,-179.82063723925302,3006.3121336350205,3006.3121336350205
4,-182.80986586898396,-179.79182444527711,3018.0414237068476,3018.0414237068476
5,-183.14410514208004,-181.2914935061556,1852.6116359244327,1852.6116359244327
6,-183.6127858637097,-180.8715773078467,2741.2085558629824,2741.2085558629824
7,-183.94973857184291,-181.17148609848024,2778.25247336267,2778.25247336267
8,-183.86971747943272,-181.61761751961484,2252.0999598178832,2252.0999598178832
9,-184.25654175621528,-182.2922891635048,1964.2525927104941,1964.2525927104941
10,-184.54303714943984,-182.6629064876444,1880.130661795448,1880.130661795448
11,-184.82748778666792,-182.1635232152653,2663.96457140263,2663.96457140263
12,-185.3447733531956,-182.90795342642951,2436.819926766077,2436.819926766077
13,-185.2250771306535,-183.131022829178,2094.054301475495,2094.054301475495
14,-185.32505280275268,-183.27553503652592,2049.5177662267565,2049.5177662267565
15,-185.66796855098585,-183.1158129758872,2552.155575098652,2552.155575098652
16,-186.0621095121573,-184.16354332460384,1898.566187553456,1898.566187553456
17,-186.55510187385707,-184.4518830192225,2103.2188546345765,2103.2188546345765
18,-187.14283109713847,-184.57651944801427,2566.311649124202,2566.311649124202
19,-186.57321688583016,-184.98426746597767,1588.9494198524972,1588.9494198524972
20,-186.91793402926143,-184.98477783095572,1933.15619830571,1933.15619830571
21,-186.9515605718932,-184.82740769671705,2124.1528751761507,2124.1528751761507
22,-187.20933850827024,-185.0514320512611,2157.9064570091477,2157.9064570091477
23,-187.4167674055833,-185.6561483871565,1760.6190184268087,1760.6190184268087
24,-187.91064396831848,-185.88661485275637,2024.029115562115,2024.029115562115
25,-187.63444163637527,-185.9288387838076,1705.6028525676652,1705.6028525676652
26,-187.9282604198172,-186.2798055549752,1648.4548648419945,1648.4548648419945
27,-188.47956113885817,-186.7864864018867,1693.0747369714823,1693.0747369714823
28,-188.77797554958235,-186.94213167217544,1835.8438774069157,1835.8438774069157
29,-188.7149987866501,-186.8035868562741,1911.4119303760049,1911.4119303760049
30,-188.9817977509519,-186.81351062062365,2168.2871303282527,2168.2871303282527
31,-188.98961361181807,-187.50823366018423,1481.3799516338406,1481.3799516338406
32,-189.4405702780254,-187.55897247430107,1881.5978037243326,1881.5978037243326
33,-189.22421032858,-188.1787585026378,1045.4518259421945,1045.4518259421945
34,-189.57902804358943,-187.72293777897104,1856.0902646183877,1856.0902646183877
35,-189.772976173614,-188.0401072401436,1732.8689334703995,1732.8689334703995
