model,n_el,t_E_kin,t_update,t_total
FiRE,100,0.2138697705231607,0.0027756969502661373,2.6102785486727953
FiRE,104,0.22429529996588826,0.00291560206824215,2.752598499879241
FiRE,112,0.2434443555539474,0.00332610437471885,2.9923158790916204
FiRE,120,0.27101169247180223,0.00358873663062695,3.4633969850838184
FiRE,132,0.321566984988749,0.004402950938674612,4.143273692578077
FiRE,140,0.35874258691910654,0.004702520530554462,4.943246603012085
FiRE,156,0.4110173389781266,0.004368652398989063,5.732282986864448
FiRE,168,0.4479147009551525,0.004699472906941075,6.68363494798541
FiRE,184,0.5183166980277747,0.00550323760253375,7.91461768746376
FiRE,200,0.621970189968124,0.005604250123724325,9.086686350405216
FiRE,216,0.6641437681391834,0.00622340205009095,10.425619952380655
FiRE,236,0.7657483420334756,0.007050668023293825,12.281309012323618
FiRE,256,0.8521112538874148,0.00783276842557825,14.23338072001934
FiRE,276,1.023523276206106,0.00936919649830085,18.052368227392435
FiRE,300,1.2269196859560907,0.01064092679880555,22.465469751507044
FiRE,328,1.3719675727188587,0.0124008474056608,26.68314634263515
FiRE,356,1.6270626680925488,0.0141306663514114,31.74810971319675
FiRE,388,1.9567847279831767,0.0166002194979228,41.48611905425786
FiRE,400,2.164328512735665,0.0179978716420008,43.305718161165714
FiRE,424,2.387912083417177,0.0196143326815216,51.477361664175994
FiRE,460,2.784265832044184,0.0218836195999756,
FiRE,500,3.386285912245512,0.025582166202366,75.23217745125294
Naive FiRE,100,4.716101568192244,0.020007838474703013,
Naive FiRE,104,3.827723279595373,0.020996927807573226,
Naive FiRE,112,4.349208705127238,0.023135723499581214,
Naive FiRE,120,5.263016656041145,0.02571197265642695,
Naive FiRE,132,8.725710108876227,0.029895661580667362,
Naive FiRE,140,9.92048771679401,0.0325979181245202,
Naive FiRE,156,12.654467746615405,0.03910318293783348,
Naive FiRE,168,14.627164423465729,0.0437826620764099,
Naive FiRE,184,18.136579975485798,0.05063372033764608,
Naive FiRE,200,21.817857161164277,0.059019514275132676,
Naive FiRE,216,26.18012824654579,0.06735387505032123,
Naive FiRE,236,32.49505114555359,0.07989035723730922,
Naive FiRE,256,28.411932796239846,0.08731558104627765,
Naive FiRE,276,48.116285443305955,0.1086891686019953,
Naive FiRE,300,,0.127791275823256,
Naive FiRE,328,,0.150526584056206,
Naive FiRE,356,,0.1779334839433431,
Naive FiRE,388,,0.221732428157702,
Naive FiRE,400,,0.2395355458837002,
Naive FiRE,424,,0.2747121723135932,
Naive FiRE,460,,0.3257306184852496,
Naive FiRE,500,,0.3749001724179832,
Ferminet,100,4.802950017154216,0.014438441436504938,14.872432
Ferminet,104,5.259482305496931,0.0153315364383161,16.630048
Ferminet,112,,0.017266295112494837,20.695984
Ferminet,120,7.619751393795011,0.023934231638850174,28.631456
Ferminet,132,10.066244095563889,0.029063064212095924,38.226944
Ferminet,140,11.814293026924132,0.03331885163643165,45.945696
Ferminet,156,15.731224715709683,0.041521862581430466,45.8672
Ferminet,168,19.54623654484749,0.048101051624689715,90.44992
Ferminet,184,24.556432321667668,0.05834020908223465,114.84672
Ferminet,200,31.318676084280014,0.06997878542460967,121.75104
Ferminet,216,38.75022888183593,0.0813480713724857,151.614208
Ferminet,236,49.555352449417114,0.09932650448754428,183.382016
Ferminet,256,60.588254749774926,0.11379192312306258,
Ferminet,276,79.29346305131912,0.14458625715051313,455.277312
Ferminet,300,103.1447705030441,0.17355740252532995,957.026816
Ferminet,328,130.89409792423245,0.2070472763269208,1274.458112
Ferminet,356,167.3412193059921,0.247593906178372,1706.219008
Ferminet,388,,0.3182288666255772,
Ferminet,400,,0.334160843200516,
Ferminet,424,,0.3811809903942048,
Ferminet,460,,0.4582254091510549,
Ferminet,500,,0.5389498171047308,
Lapnet,100,3.509861843660474,0.019283484232437326,10.821008
Lapnet,104,3.787459707818925,0.02013463695620885,11.494144
Lapnet,112,4.475854407995939,0.022001622436800962,13.641376
Lapnet,120,5.13762865588069,0.028470378124620763,17.280608
Lapnet,132,6.8147075194865465,0.0389198904245859,23.509568
Lapnet,140,7.757290543988347,0.04286081560712773,26.990944
Lapnet,156,9.88342396914959,0.0504641874867957,34.145472
Lapnet,168,11.895270738750696,0.05644219489913666,40.864336
Lapnet,184,14.655759021639824,0.06537422691326356,50.25856
Lapnet,200,17.773565091192722,0.07524123665643856,70.86624
Lapnet,216,21.332996509969234,0.08521150423766813,84.968256
Lapnet,236,26.739126659929752,0.10102780139422976,108.4152
Lapnet,256,31.756616771221157,0.1145431261189515,164.466496
Lapnet,276,42.17682157456875,0.1488421735004522,223.61792
Lapnet,300,51.717961609363556,0.17347384927561507,394.114048
Lapnet,328,64.68561959266663,0.2020505895925453,511.729408
Lapnet,356,80.18286591768265,0.237237891224504,
Lapnet,388,107.44899636507034,0.31128767999471163,1524.874752
Lapnet,400,114.08694088459013,0.32716013338795163,1614.662144
Lapnet,424,133.84485095739365,0.3675784760242095,1712.86784
Lapnet,460,164.74736034870148,0.4331987746496452,4600.418816
Lapnet,500,201.3835550546646,0.49863432263955476,5387.683328
Psiformer,100,6.070690767839551,0.0164673061313806,12.749952
Psiformer,104,6.577626151964068,0.01720568671880755,13.60048
Psiformer,112,7.788484288379549,0.018886802226188586,16.194464
