Molecule,16det,16det,1det,1det,baseline,baseline,nojastrow
State,singlet,triplet,singlet,triplet,singlet,triplet,singlet
opt/step,,,,,,,
0,-52.60816955566406,-52.30239486694336,-42.10675048828125,-42.88431930541992,-49.22215270996094,-46.3193244934082,-46.1143913269043
1,-52.89822769165039,-52.69670486450195,-42.729515075683594,-43.829471588134766,-49.197845458984375,-46.59364318847656,-46.99032211303711
2,-53.108253479003906,-53.09064865112305,-43.714271545410156,-43.78384780883789,-49.7496223449707,-47.04023361206055,-47.45013427734375
3,-53.2640380859375,-53.24247741699219,-45.093040466308594,-45.16426467895508,-50.124717712402344,-47.5881462097168,-48.098812103271484
4,-53.36723327636719,-53.71812438964844,-46.21853256225586,-46.122535705566406,-50.714500427246094,-48.07948303222656,-48.732208251953125
5,-53.87647247314453,-53.899009704589844,-46.49897003173828,-46.81688690185547,-51.20801544189453,-48.007118225097656,-48.563751220703125
6,-53.67962646484375,-53.919612884521484,-47.21567153930664,-47.90301513671875,-51.82835388183594,-48.868003845214844,-49.447635650634766
7,-54.24909973144531,-54.0756721496582,-47.53580856323242,-48.67298126220703,-51.729469299316406,-49.264793395996094,-49.725914001464844
8,-54.143436431884766,-54.095611572265625,-48.40619659423828,-48.909568786621094,-52.137001037597656,-49.774112701416016,-50.52128601074219
9,-54.41614532470703,-54.41115188598633,-48.695926666259766,-49.50343704223633,-52.78398895263672,-49.96445846557617,-50.704246520996094
10,-54.28813171386719,-54.62055587768555,-49.1810302734375,-49.7962532043457,-52.51593780517578,-50.55195236206055,-51.16377258300781
11,-54.68479537963867,-54.56079864501953,-49.95829772949219,-50.39923858642578,-52.99578857421875,-50.93179702758789,-51.187129974365234
12,-54.77412414550781,-55.00593566894531,-50.34556579589844,-50.85451126098633,-53.269142150878906,-51.650184631347656,-51.42162322998047
13,-55.01625442504883,-55.34961700439453,-50.97818374633789,-51.007537841796875,-53.20784378051758,-51.55223083496094,-51.86255645751953
