n_carbon,angle,cutoff,model,jastrow,experiment,steps,E,E_std
4,90,3.0,new_sparse,none,jastrow,0,-150.99071044921874,9.195932149887085
4,90,3.0,new_sparse,none,jastrow,100,-154.09451946236234,2.9486860977975944
4,90,3.0,new_sparse,none,jastrow,200,-154.38274270477714,2.294621078591598
4,90,3.0,new_sparse,none,jastrow,300,-154.4407625995689,1.9667551517486572
4,90,3.0,new_sparse,none,jastrow,400,-154.48873966181003,1.7643592106668573
4,90,3.0,new_sparse,none,jastrow,500,-154.49277460083923,1.808786429856953
4,90,3.0,new_sparse,none,jastrow,600,-154.49604427395496,1.657238483428955
4,90,3.0,new_sparse,none,jastrow,700,-154.5032656522154,1.5018061211234646
4,90,3.0,new_sparse,none,jastrow,800,-154.50038395207537,1.4695953632655896
4,90,3.0,new_sparse,none,jastrow,900,-154.51327265669195,1.4065797768141095
4,90,3.0,new_sparse,none,jastrow,1000,-154.51672023523747,1.3070983071076243
4,90,3.0,new_sparse,none,jastrow,1100,-154.5293280073236,1.2286754219155562
4,90,3.0,new_sparse,none,jastrow,1200,-154.52619866533263,1.3559775289736296
4,90,3.0,new_sparse,none,jastrow,1300,-154.53528739245107,1.3691591212623997
4,90,3.0,new_sparse,none,jastrow,1400,-154.53746823213714,1.2401189302143298
4,90,3.0,new_sparse,none,jastrow,1500,-154.54555280848246,1.1410447296343351
4,90,3.0,new_sparse,none,jastrow,1600,-154.55238397254803,1.2232280091235512
4,90,3.0,new_sparse,none,jastrow,1700,-154.55281842178096,1.1610744564156783
4,90,3.0,new_sparse,none,jastrow,1800,-154.54699904377557,1.1424749587711536
4,90,3.0,new_sparse,none,jastrow,1900,-154.547851727122,1.290716522618344
4,90,3.0,new_sparse,none,jastrow,2000,-154.5510751330868,1.1743888729497005
4,90,3.0,new_sparse,none,jastrow,2100,-154.5548236031616,1.232112583361174
4,90,3.0,new_sparse,none,jastrow,2200,-154.55811747855816,1.457008226921684
4,90,3.0,new_sparse,none,jastrow,2300,-154.55646039691683,1.033142996461768
4,90,3.0,new_sparse,none,jastrow,2400,-154.55450391060265,1.089728687938891
4,90,3.0,new_sparse,none,jastrow,2500,-154.55641759523704,1.1784502644287913
4,90,3.0,new_sparse,none,jastrow,2600,-154.55790381056582,1.0842484706326534
4,90,3.0,new_sparse,none,jastrow,2700,-154.56384635321615,1.0978172421455383
4,90,3.0,new_sparse,none,jastrow,2800,-154.56485662275028,1.03716841810628
4,90,3.0,new_sparse,none,jastrow,2900,-154.5692022297197,0.971436105276409
4,90,3.0,new_sparse,none,jastrow,3000,-154.5724578980348,1.0246915817260742
4,90,3.0,new_sparse,none,jastrow,3100,-154.57944219219303,0.9691833979205081
4,90,3.0,new_sparse,none,jastrow,3200,-154.58249333521218,0.9191378982443559
4,90,3.0,new_sparse,none,jastrow,3300,-154.58648717742508,0.8805054237968043
4,90,3.0,new_sparse,none,jastrow,3400,-154.5875556269309,0.9627922459652549
4,90,3.0,new_sparse,none,jastrow,3500,-154.59004429086983,0.8642591081167522
4,90,3.0,new_sparse,none,jastrow,3600,-154.5926651647789,0.9212808922717446
4,90,3.0,new_sparse,none,jastrow,3700,-154.59662971956718,0.8753248359027662
4,90,3.0,new_sparse,none,jastrow,3800,-154.60046674546203,0.8340688943862915
4,90,3.0,new_sparse,none,jastrow,3900,-154.60378461832693,0.8496007887940658
4,90,3.0,new_sparse,none,jastrow,4000,-154.60511189855129,0.8684534555987308
4,90,3.0,new_sparse,none,jastrow,4100,-154.6071888255656,0.8219501501635501
4,90,3.0,new_sparse,none,jastrow,4200,-154.6086106474288,0.8115867564552709
4,90,3.0,new_sparse,none,jastrow,4300,-154.60954153871197,0.8180967412496868
4,90,3.0,new_sparse,none,jastrow,4400,-154.6097830508295,0.7948074309449447
4,90,3.0,new_sparse,none,jastrow,4500,-154.60786447245823,0.7887695368967558
4,90,3.0,new_sparse,none,jastrow,4600,-154.60907597868373,0.8143895582148903
4,90,3.0,new_sparse,none,jastrow,4700,-154.60721983450333,0.8182989860835829
4,90,3.0,new_sparse,none,jastrow,4800,-154.60852859810947,0.8252349495887756
4,90,3.0,new_sparse,none,jastrow,4900,-154.61008723127466,0.7912812138858595
4,90,3.0,new_sparse,none,jastrow,5000,-154.61175270332114,0.8008633757892408
4,90,3.0,new_sparse,none,jastrow,5100,-154.61254120487456,0.7793040589282387
4,90,3.0,new_sparse,none,jastrow,5200,-154.6134125443465,0.8022162851534391
4,90,3.0,new_sparse,none,jastrow,5300,-154.61413766795212,0.7692653568167436
4,90,3.0,new_sparse,none,jastrow,5400,-154.61529272330878,0.7609908674892626
4,90,3.0,new_sparse,none,jastrow,5500,-154.61519897148426,0.7502742064626593
4,90,3.0,new_sparse,none,jastrow,5600,-154.61514246442894,0.8090075003473383
4,90,3.0,new_sparse,none,jastrow,5700,-154.6151751485699,0.8038638234138489
4,90,3.0,new_sparse,none,jastrow,5800,-154.6154758528616,0.7649032379451551
4,90,3.0,new_sparse,none,jastrow,5900,-154.61599062517632,0.7351767859960857
4,90,3.0,new_sparse,none,jastrow,6000,-154.6147019370901,0.7478776040830111
4,90,3.0,new_sparse,none,jastrow,6100,-154.6151785633931,0.7564848724164461
4,90,3.0,new_sparse,none,jastrow,6200,-154.61488778081025,0.7459587454795837
4,90,3.0,new_sparse,none,jastrow,6300,-154.61404811853058,0.7361896571360136
4,90,3.0,new_sparse,none,jastrow,6400,-154.61450751538274,0.7444288479654413
4,90,3.0,new_sparse,none,jastrow,6500,-154.61450931137506,0.7322030067443848
4,90,3.0,new_sparse,none,jastrow,6600,-154.6150319025649,0.7182568970479464
4,90,3.0,new_sparse,none,jastrow,6700,-154.61546393290385,0.7257295125409177
4,90,3.0,new_sparse,none,jastrow,6800,-154.61553114366973,0.7620592054567839
4,90,3.0,new_sparse,none,jastrow,6900,-154.61657342553752,0.7483959041143718
4,90,3.0,new_sparse,none,jastrow,7000,-154.61786607766624,0.6966002332536798
4,90,3.0,new_sparse,none,jastrow,7100,-154.6185673140135,0.7001719851242868
4,90,3.0,new_sparse,none,jastrow,7200,-154.6181534172657,0.7178381555958798
4,90,3.0,new_sparse,none,jastrow,7300,-154.61872553531347,0.7136728449871665
4,90,3.0,new_sparse,none,jastrow,7400,-154.61927024880617,0.7136798155935187
4,90,3.0,new_sparse,none,jastrow,7500,-154.61963210014582,0.7306226648782429
4,90,3.0,new_sparse,none,jastrow,7600,-154.61988505939635,0.6839839000450937
4,90,3.0,new_sparse,none,jastrow,7700,-154.61979926736322,0.7341119270575674
4,90,3.0,new_sparse,none,jastrow,7800,-154.61993879977263,1.362489496406756
4,90,3.0,new_sparse,none,jastrow,7900,-154.62000512268858,0.715051343566493
4,90,3.0,new_sparse,none,jastrow,8000,-154.62068601138634,0.67430285403603
4,90,3.0,new_sparse,none,jastrow,8100,-154.62074538628696,0.7183562705391332
4,90,3.0,new_sparse,none,jastrow,8200,-154.6210084279707,0.6851478658224407
4,90,3.0,new_sparse,none,jastrow,8300,-154.62130092168212,0.7075642284594084
4,90,3.0,new_sparse,none,jastrow,8400,-154.62164370548464,0.7230646296551353
4,90,3.0,new_sparse,none,jastrow,8500,-154.6211586143546,0.7016604323136179
4,90,3.0,new_sparse,none,jastrow,8600,-154.6212343511618,0.7012005354228773
4,90,3.0,new_sparse,none,jastrow,8700,-154.62120381882377,0.674948209210446
4,90,3.0,new_sparse,none,jastrow,8800,-154.6208717580614,0.6920039214585957
4,90,3.0,new_sparse,none,jastrow,8900,-154.62088233003726,0.6769702716877586
4,90,3.0,new_sparse,none,jastrow,9000,-154.62093192898317,0.7091063982562015
4,90,3.0,new_sparse,none,jastrow,9100,-154.6214739321109,0.6958675541375813
