jastrow,n_carbon,angle,cutoff,steps,E,E_std,t
no,2,0,3.0,0,-76.84507904052734,5.787444400787353,0.5411638780497015
no,2,0,3.0,200,-78.29356272161172,1.4938524898729826,0.5282764970324934
no,2,0,3.0,400,-78.47399786590081,0.9243203244711223,0.5341875180602074
no,2,0,3.0,600,-78.5313994933692,0.6666752288216039,0.5294062341563404
no,2,0,3.0,800,-78.55872918096564,0.5494969079368993,0.5317489039152861
no,2,0,3.0,1000,-78.56232213605915,0.5907685552772722,0.534025589004159
no,2,0,3.0,1200,-78.56280732383318,0.5147746079846433,0.5326856439933181
no,2,0,3.0,1400,-78.56869036313964,0.48810064165215744,0.5338402446359396
no,2,0,3.0,1600,-78.56935021366674,0.4863621639577966,0.530493272934109
no,2,0,3.0,1800,-78.57019364514242,0.4624272851567519,0.5309413280338049
no,2,0,3.0,2000,-78.56859088106718,0.43155845686009053,0.529481593053788
no,2,0,3.0,2200,-78.56715253685064,0.47840131583966705,0.5309819066897035
no,2,0,3.0,2400,-78.5728043682782,0.40930687440069097,0.5306120309978724
no,2,0,3.0,2600,-78.5720777055518,0.4424572696811275,0.5310710510239005
no,2,0,3.0,2800,-78.57332116216273,0.44243166478056656,0.5263368845917284
no,2,0,3.0,3000,-78.57435526453399,0.40959821876726654,0.531246243044734
no,2,0,3.0,3200,-78.57360840613171,0.37049083019557755,0.5301122763194144
no,2,0,3.0,3400,-78.5748263627787,0.4057755878097133,0.5265513900667429
no,2,0,3.0,3600,-78.57439847587715,0.3674237649691732,0.5298166940920055
no,2,0,3.0,3800,-78.57459606576356,1.2491270539007688,0.5295238038524985
no,2,0,3.0,4000,-78.5755759589695,0.3831555294363122,0.5311582856811583
no,2,0,3.0,4200,-78.57556500683447,0.3929389668138404,0.5309134251438081
no,2,0,3.0,4400,-78.57471410887484,0.3972079926415494,0.5278530889190733
no,2,0,3.0,4600,-78.57434180587154,0.35906695064745453,0.5303547368384898
no,2,0,3.0,4800,-78.57487841202952,0.35516471454971715,0.5265331212431192
no,2,0,3.0,5000,-78.57647860447071,0.3517697029992154,0.5298006259836257
no,2,0,3.0,5200,-78.57698340082113,0.3354756330188952,0.5309986877255142
no,2,0,3.0,5400,-78.57706742111628,0.3907504662087089,0.5311084599234164
no,2,0,3.0,5600,-78.5771892615708,0.3211108053985395,0.5289670629426837
no,2,0,3.0,5800,-78.57716427726368,0.35461780272032084,0.5279560722410679
no,2,0,3.0,6000,-78.57710721571465,0.3691882647966084,0.5289110774174333
no,2,0,3.0,6200,-78.57678933960212,0.3306223420720351,0.5306473257951438
no,2,0,3.0,6400,-78.57615421028449,0.2971746733314113,0.5301492176949978
no,2,0,3.0,6600,-78.57687310579013,0.3251209290404069,0.5304623181000352
no,2,0,3.0,6800,-78.57780272535315,0.3167384078628139,0.5282231019809842
no,2,0,3.0,7000,-78.57880595545437,0.31240089472971466,0.524848529137671
no,2,0,3.0,7200,-78.57889396109637,0.3070299154833743,0.5281280018389225
no,2,0,3.0,7400,-78.57847318043018,0.3096674367001182,0.52801577700302
no,2,0,3.0,7600,-78.57771322808726,0.35036084212754903,0.5306194601580501
no,2,0,3.0,7800,-78.57707659784793,0.34135642961451884,0.5256860218942165
no,2,0,3.0,8000,-78.57710401497845,0.38146879327924627,0.528280938975513
no,2,0,3.0,8200,-78.57737467608911,0.32849633066277756,0.5282367654144764
no,2,0,3.0,8400,-78.57828564327627,0.35720163583755493,0.5253221751190722
no,2,0,3.0,8600,-78.57912898110861,0.32751062355543437,0.5275211869738996
no,2,0,3.0,8800,-78.57941135551827,0.39051143746627004,0.5263057891279459
no,2,0,3.0,9000,-78.57962833591864,0.2913188032413784,0.52650549961254
no,2,0,3.0,9200,-78.580249979562,0.31486641733269943,0.5300435819663107
no,2,0,3.0,9400,-78.57966711709605,0.3088439436335313,0.5230130641721189
no,2,0,3.0,9600,-78.57976095738182,0.305244201108029,0.5265642781741917
no,2,0,3.0,9800,-78.5799407796339,0.3120578864687367,0.5261569921858609
no,2,0,3.0,10000,-78.58003996617227,0.28812921204065023,0.5254616243764758
no,2,0,3.0,10200,-78.57975866219232,0.2905064531062779,0.5315553089603782
no,2,0,3.0,10400,-78.5798917259537,0.27374140212410375,0.5259710690006614
no,2,0,3.0,10600,-78.58003419824908,0.3059431471322712,0.5281965741887689
no,2,0,3.0,10800,-78.57997569122118,0.28382503280514165,0.5294312629848719
no,2,0,3.0,11000,-78.57975396867683,0.2846405890427138,0.5307306167669594
no,2,0,3.0,11200,-78.57979393812771,0.30659591524224533,0.5288585228845477
no,2,0,3.0,11400,-78.58037413038278,0.2892882839629525,0.5265079638920724
no,2,0,3.0,11600,-78.58047437364232,0.2701265451155211,0.5288849901407957
no,2,0,3.0,11800,-78.58055707258912,0.27054060525015783,0.5273014423437417
no,2,0,3.0,12000,-78.58079895120392,0.2767023812783392,0.5320399687625468
no,2,0,3.0,12200,-78.58102711152655,0.26694117878612716,0.5257392409257591
no,2,0,3.0,12400,-78.5811920785398,0.274362029997926,0.5267126802355051
no,2,0,3.0,12600,-78.58101817315668,0.30566478246136713,0.5253146309405565
no,2,0,3.0,12800,-78.5808564092045,0.27528756543209676,0.5328122489154339
no,2,0,3.0,13000,-78.58111670388067,0.30382735007687617,0.5312518589198589
no,2,0,3.0,13200,-78.5810015920438,0.2838669450659501,0.5274777193553746
no,2,0,3.0,13400,-78.5807790985966,0.327181140058919,0.5301711340434849
no,2,0,3.0,13600,-78.5808392927974,0.27170563057849284,0.5312201911583543
no,2,0,3.0,13800,-78.58056924002933,0.28536013004026917,0.5322241010144353
no,2,0,3.0,14000,-78.58064174285714,0.28971745779639796,0.5328117581084371
no,2,0,3.0,14200,-78.58083443104054,0.2674666054938969,0.5273205596022308
no,2,0,3.0,14400,-78.58096707471438,0.2799330345894161,0.5309245460666716
no,2,0,3.0,14600,-78.58075369139266,0.2619309009690034,0.5304893688298762
no,2,0,3.0,14800,-78.58082232344947,0.2567537873983383,0.5302673513069749
no,2,0,3.0,15000,-78.58094214152744,0.27921011024399806,0.5289412322454154
no,2,0,3.0,15200,-78.58097885835994,0.3041944315558986,0.5347012039273977
no,2,0,3.0,15400,-78.58125541211072,0.27270299039388957,0.53152692085132
no,2,0,3.0,15600,-78.58165867293512,0.2854868832387422,0.5268833213485777
no,2,0,3.0,15800,-78.58155257401411,0.2481420542064466,0.5306012332439423
no,2,0,3.0,16000,-78.58165554370329,0.2569370261932674,0.5260345111601055
