cutoff,n_carbon,E0,E0_err,E90,E90_err,deltaE_mean,deltaE_err,opt_step_begin,opt_step_end,n_steps_averaging
3,2,-13.730787505650772,7.884203252493522e-05,-13.61088434630311,7.753795540549326e-05,0.11990315934766241,0.00011003384102469116,23001,25000,2000
3,4,-25.001480814783513,0.00012676285013247225,-24.938065240377902,0.00013272072708249465,0.06341557440561182,0.00018206492028668132,23000,25000,2000
3,6,-36.27535721116352,0.00016924425337817335,-36.22970735478438,0.0001832038599618923,0.04564985637913655,0.00024674549036452994,23000,25000,2000
3,8,-47.54869084845168,0.0002088483949482039,-47.51329822701781,0.00021538170309765088,0.035392621433869134,0.00030307636557169986,23001,25000,2000
3,12,-70.09747580653985,0.0002744313426347205,-70.07198589496863,0.00027593183815264347,0.025489911571221675,0.00038357722427252825,25112,27111,2000
3,16,-92.62906813680924,0.0003324369016601446,-92.62167336988018,0.00032827581230601645,0.00739476692904875,0.00046092023108592587,24515,26514,2000
3,20,-115.17290560197966,0.00039576323221223255,-115.15944193373709,0.0003793888177019785,0.013463668242581519,0.0005419087128208786,23001,25000,2000
3,24,-137.68996238722283,0.00043949081010365875,-137.69867755558118,0.0004402183133956979,-0.008715168358318181,0.0006207014512214877,21715,23717,2000
5,2,-13.73278402060151,4.8131084792116474e-05,-13.612803202109038,4.610336009579922e-05,0.11998081849247134,6.675068414649551e-05,33001,35000,2000
5,4,-25.00729688845567,7.70286583474264e-05,-24.943531113074933,7.983477202144408e-05,0.06376577538074243,0.00010899310155804406,33001,35000,2000
5,6,-36.286390297362665,0.00010867857962558377,-36.24167086547522,0.00010688442612492055,0.0447194318874452,0.00015132234768027401,32999,35000,2000
5,8,-47.562589090775795,0.0001436409275944613,-47.52780409040007,0.00014283834134875019,0.03478500037572421,0.00020416202249506123,25213,27212,2000
