comment,method,basis_set,E_final
cumulene_C20H4_90deg_triplet,DLPNO-CCSD(T),cc-pVDZ,-761.712358164383
cumulene_C12H4_0deg_singlet,DLPNO-CCSD(T),cc-pVTZ,-458.392169348001
cumulene_C8H4_90deg_triplet,DLPNO-CCSD(T),cc-pVTZ,-306.377745279766
cumulene_C4H4_90deg_triplet,DLPNO-CCSD(T),cc-pVTZ,-154.361186545239
cumulene_C8H4_0deg_singlet,DLPNO-CCSD(T),cc-pVDZ,-306.132148281747
cumulene_C4H4_90deg_triplet,DLPNO-CCSD(T),cc-pVDZ,-154.213141610473
cumulene_C16H4_90deg_triplet,DLPNO-CCSD(T),cc-pVDZ,-609.845323081397
cumulene_C2H4_90deg_triplet,DLPNO-CCSD(T),cc-pVDZ,-78.234917735013
cumulene_C16H4_0deg_singlet,DLPNO-CCSD(T),cc-pVDZ,-609.85093883898
cumulene_C16H4_0deg_singlet,DLPNO-CCSD(T),cc-pVTZ,-610.378520359552
cumulene_C2H4_90deg_triplet,DLPNO-CCSD(T),cc-pVTZ,-78.319084406974
cumulene_C12H4_0deg_singlet,DLPNO-CCSD(T),cc-pVDZ,-457.9912978909
cumulene_C8H4_90deg_triplet,DLPNO-CCSD(T),cc-pVDZ,-306.102319603233
cumulene_C4H4_0deg_singlet,DLPNO-CCSD(T),cc-pVDZ,-154.275725750829
cumulene_C6H4_0deg_singlet,DLPNO-CCSD(T),cc-pVTZ,-230.413817144448
cumulene_C20H4_0deg_singlet,DLPNO-CCSD(T),cc-pVDZ,-761.710612989021
cumulene_C2H4_0deg_singlet,DLPNO-CCSD(T),cc-pVDZ,-78.354176362231
cumulene_C24H4_0deg_singlet,DLPNO-CCSD(T),cc-pVDZ,-913.570179709929
cumulene_C2H4_0deg_singlet,DLPNO-CCSD(T),cc-pVTZ,-78.437791586573
cumulene_C12H4_90deg_triplet,DLPNO-CCSD(T),cc-pVDZ,-457.975767328796
cumulene_C4H4_0deg_singlet,DLPNO-CCSD(T),cc-pVTZ,-154.42288642574
cumulene_C6H4_0deg_singlet,DLPNO-CCSD(T),cc-pVDZ,-230.202979438102
cumulene_C6H4_90deg_triplet,DLPNO-CCSD(T),cc-pVTZ,-230.372193024348
cumulene_C8H4_0deg_singlet,DLPNO-CCSD(T),cc-pVTZ,-306.406299512405
cumulene_C6H4_90deg_triplet,DLPNO-CCSD(T),cc-pVDZ,-230.160170821578
cumulene_C6H4_90deg_triplet,PBE0,cc-pVTZ,-230.615934739057
cumulene_C24H4_0deg_singlet,PBE0,cc-pVDZ,-915.140776093504
cumulene_C2H4_90deg_triplet,PBE0,cc-pVTZ,-78.403903345846
cumulene_C12H4_0deg_singlet,PBE0,cc-pVTZ,-458.873471577906
cumulene_C20H4_0deg_singlet,PBE0,cc-pVTZ,-763.18046408232
cumulene_C20H4_90deg_triplet,PBE0,cc-pVTZ,-763.178517288326
cumulene_C24H4_90deg_triplet,PBE0,cc-pVTZ,-915.335422361574
cumulene_C4H4_0deg_singlet,PBE0,cc-pVTZ,-154.575553231557
cumulene_C20H4_0deg_singlet,PBE0,cc-pVDZ,-763.017176971052
cumulene_C8H4_0deg_singlet,PBE0,cc-pVTZ,-306.721686215816
cumulene_C16H4_0deg_singlet,PBE0,cc-pVDZ,-610.893846150163
cumulene_C8H4_90deg_triplet,PBE0,cc-pVDZ,-306.62776992723
cumulene_C2H4_0deg_singlet,PBE0,cc-pVDZ,-78.485075204688
cumulene_C12H4_90deg_triplet,PBE0,cc-pVTZ,-458.862232145584
cumulene_C6H4_0deg_singlet,PBE0,cc-pVTZ,-230.647237542054
cumulene_C16H4_0deg_singlet,PBE0,cc-pVTZ,-611.026690214944
cumulene_C12H4_0deg_singlet,PBE0,cc-pVDZ,-458.771079992646
cumulene_C24H4_0deg_singlet,PBE0,cc-pVTZ,-915.334503712267
cumulene_C12H4_90deg_triplet,PBE0,cc-pVDZ,-458.759317333103
cumulene_C4H4_90deg_triplet,PBE0,cc-pVTZ,-154.525036515725
cumulene_C6H4_0deg_singlet,PBE0,cc-pVDZ,-230.59060421914
cumulene_C8H4_90deg_triplet,PBE0,cc-pVTZ,-306.700204868685
cumulene_C20H4_90deg_triplet,PBE0,cc-pVDZ,-763.014609022394
cumulene_C6H4_90deg_triplet,PBE0,cc-pVDZ,-230.558738182288
cumulene_C8H4_0deg_singlet,PBE0,cc-pVDZ,-306.649776577113
cumulene_C2H4_0deg_singlet,PBE0,cc-pVTZ,-78.510646998299
cumulene_C4H4_90deg_triplet,PBE0,cc-pVDZ,-154.4831057432
cumulene_C2H4_90deg_triplet,PBE0,cc-pVDZ,-78.377236761153
cumulene_C24H4_90deg_triplet,PBE0,cc-pVDZ,-915.140996718229
cumulene_C16H4_90deg_triplet,PBE0,cc-pVTZ,-611.021009851696
cumulene_C16H4_90deg_triplet,PBE0,cc-pVDZ,-610.887604921515
cumulene_C4H4_0deg_singlet,PBE0,cc-pVDZ,-154.534286001658
cumulene_C8H4_90deg_triplet,CASSCF,cc-pVDZ,-305.071566846749
cumulene_C6H4_0deg_singlet,CASSCF,cc-pVDZ,-229.457788041239
cumulene_C6H4_90deg_triplet,CASSCF,cc-pVDZ,-229.413438266239
cumulene_C4H4_90deg_triplet,CASSCF,cc-pVDZ,-153.757875925702
cumulene_C12H4_90deg_triplet,CASSCF,cc-pVDZ,-456.37400943341
cumulene_C16H4_90deg_triplet,CASSCF,cc-pVDZ,-607.688846894196
cumulene_C8H4_0deg_singlet,CASSCF,cc-pVDZ,-305.113798428831
