E,E_std,n_atoms,d_short,d_long,cutoff
-5.550297447233579,2.438736926867992e-05,10,1.1,1.9,3.0
-5.552499545310667,1.2853576963494956e-05,10,1.1,1.9,4.0
-5.553468574775289,5.631665161530117e-06,10,1.1,1.9,5.0
-5.553901889540889,1.759231799042597e-06,10,1.1,1.9,9.0
-5.615108751080153,2.5459888164267228e-05,10,1.3,1.7,3.0
-5.6167523382473155,1.3722946149680017e-05,10,1.3,1.7,4.0
-5.618165437560858,6.795247600309193e-06,10,1.3,1.7,5.0
-5.6187283695012304,1.823504234265239e-06,10,1.3,1.7,9.0
-5.574277859928012,2.463366454851851e-05,10,1.5,1.5,3.0
-5.576011843662741,1.4058499970231948e-05,10,1.5,1.5,4.0
-5.576911618454243,6.80125646433023e-06,10,1.5,1.5,5.0
-5.577302613862454,2.004265880590619e-06,10,1.5,1.5,9.0
-5.55377298325923,3.3724267241188168e-06,10,1.1,1.9,6.0
-5.618608460189366,3.5189199783890127e-06,10,1.3,1.7,6.0
-5.577194684696798,7.845736419107649e-06,10,1.5,1.5,6.0
