opt/step,opt/E,geom,cutoff
100000.0,-75.24898918965133,benzene_dimer_T_10.00A,transfer
100001.0,-75.23524943448331,benzene_dimer_T_10.00A,transfer
100002.0,-75.25882556258125,benzene_dimer_T_10.00A,transfer
100003.0,-75.26393178211713,benzene_dimer_T_10.00A,transfer
100004.0,-75.27900756934336,benzene_dimer_T_10.00A,transfer
100005.0,-75.58303816386355,benzene_dimer_T_10.00A,transfer
100006.0,-75.27798163054942,benzene_dimer_T_10.00A,transfer
100007.0,-75.28828387400688,benzene_dimer_T_10.00A,transfer
100008.0,-75.28846788663228,benzene_dimer_T_10.00A,transfer
100009.0,-75.26657075640205,benzene_dimer_T_10.00A,transfer
100010.0,-75.28069425069052,benzene_dimer_T_10.00A,transfer
100011.0,-75.29416057549591,benzene_dimer_T_10.00A,transfer
100012.0,-75.29872611580655,benzene_dimer_T_10.00A,transfer
100013.0,-75.2542350680264,benzene_dimer_T_10.00A,transfer
100014.0,-75.28333589254443,benzene_dimer_T_10.00A,transfer
100015.0,-75.2934702961971,benzene_dimer_T_10.00A,transfer
100016.0,-75.2775399350224,benzene_dimer_T_10.00A,transfer
100017.0,-75.2770510088175,benzene_dimer_T_10.00A,transfer
100018.0,-75.28528769558282,benzene_dimer_T_10.00A,transfer
100019.0,-75.28044824907214,benzene_dimer_T_10.00A,transfer
100020.0,-75.28380519314197,benzene_dimer_T_10.00A,transfer
100021.0,-75.28086504937305,benzene_dimer_T_10.00A,transfer
100022.0,-75.291549691287,benzene_dimer_T_10.00A,transfer
100023.0,-75.28565473987655,benzene_dimer_T_10.00A,transfer
100024.0,-75.29493723264807,benzene_dimer_T_10.00A,transfer
100025.0,-75.27727524760522,benzene_dimer_T_10.00A,transfer
100026.0,-75.29311349122372,benzene_dimer_T_10.00A,transfer
100027.0,-75.28751179115936,benzene_dimer_T_10.00A,transfer
100028.0,-75.27881281937283,benzene_dimer_T_10.00A,transfer
100029.0,-75.28964653720887,benzene_dimer_T_10.00A,transfer
100030.0,-75.34268522616794,benzene_dimer_T_10.00A,transfer
100031.0,-75.30858213610486,benzene_dimer_T_10.00A,transfer
