dist,cutoff,E_mean,E_mean_sigma,E_std,t
1.8,0.0001,-5.659786637893751,5.976949580441095e-05,0.002673641271759277,1.013115278998157
1.8,1.0,-5.660010986508039,6.717762234082477e-05,0.0030050255772083117,1.1339641149970703
1.8,2.0,-5.660862507056508,7.543313393810373e-05,0.0033743155675108436,1.1643715130048804
1.8,3.0,-5.661983889418766,5.7190610957965113e-05,0.0025582812060976835,1.1955532360007055
1.8,5.0,-5.66307480022826,1.959391231587678e-05,0.0008764854368922845,1.2306185890047345
1.8,7.0,-5.663278399955429,9.771752289358783e-06,0.0004371152854248407,1.2503197520272806
1.8,9.0,-5.663303748971533,8.15952177838949e-06,0.0003649961220336982,1.269726033002371
1.8,11.0,-5.663314163280213,7.244960294798215e-06,0.0003240854652652422,1.2696426319889724
2.8,0.0001,-5.372346478792903,4.307976331386661e-05,0.001927067170693569,1.0054981420107652
2.8,1.0,-5.3725429446389805,4.497046554871098e-05,0.0020116430811917907,1.1244845949986484
2.8,2.0,-5.372907679478575,5.3653420833946036e-05,0.0024000537127189495,1.1392680739518255
2.8,3.0,-5.373461053142664,4.4816973663345614e-05,0.0020047769995214268,1.165419099997962
2.8,5.0,-5.374255989343212,1.9706336182221002e-05,0.0008815144418210074,1.201279811997665
2.8,7.0,-5.374553195349565,9.41824523321647e-06,0.00042130201742834184,1.2191154260071926
2.8,9.0,-5.37458222242701,6.363872839721675e-06,0.0002846721867654335,1.2401420150126796
2.8,11.0,-5.374584548190694,6.055521697748562e-06,0.0002708788574378452,1.2606446720310487
