n_dets,n_carbon,angle,E,E_sigma
2,4,0,-154.6831635626,0.00014976763199269356
2,4,90,-154.62791934105854,0.00014577322560217664
8,4,0,-154.69024828152047,0.00015338117990504178
8,4,90,-154.63009465672783,0.00015711667233021608
2,8,0,-306.88988177706256,0.0002564805116171143
2,8,90,-306.8785221105193,0.00023444960854570966
8,8,0,-306.8993035011162,0.00035238957873332227
8,8,90,-306.87398879477036,0.0002618637700974086
4,4,0,-154.686199433087,0.00016669325755541627
4,4,90,-154.62880693819733,0.00014077824734534856
