model,operation,system_size,batch_size,t
FiRE,wf_lowrank,16,4096,0.014911010395735502
FiRE,wf_lowrank,17,4096,0.016217696748208256
FiRE,wf_lowrank,19,4096,0.01752228944096714
FiRE,wf_lowrank,21,4096,0.019585939543321728
FiRE,wf_lowrank,23,4096,0.0209222047473304
FiRE,wf_lowrank,24,4096,0.022205575602129102
FiRE,wf_lowrank,25,4096,0.02332481654593721
FiRE,wf_lowrank,27,4096,0.026608834997750817
FiRE,wf_lowrank,29,4096,0.028709893045015634
FiRE,wf_lowrank,32,4096,0.03522360750939697
FiRE,wf_lowrank,34,4096,0.037620164244435726
FiRE,wf_lowrank,38,4096,0.03494921919191256
FiRE,wf_lowrank,41,4096,0.03759578325552866
FiRE,wf_lowrank,45,2048,0.02201295041013509
FiRE,wf_lowrank,49,2048,0.022417000494897366
FiRE,wf_lowrank,53,2048,0.024893608200363813
FiRE,wf_lowrank,58,2048,0.02820267209317535
FiRE,wf_lowrank,63,1024,0.015665536851156504
FiRE,wf_lowrank,68,1024,0.01873839299660176
FiRE,wf_lowrank,74,1024,0.02128185359761119
FiRE,wf_lowrank,81,512,0.012400847405660897
FiRE,wf_lowrank,88,512,0.014130666351411492
FiRE,wf_lowrank,96,512,0.016600219497922807
FiRE,wf_lowrank,99,256,0.008998935821000486
FiRE,wf_lowrank,105,256,0.009807166340760887
FiRE,wf_lowrank,114,256,0.010941809799987823
FiRE,wf_lowrank,124,128,0.006395541550591588
FiRE,wf_full,16,4096,0.10036155090201646
FiRE,wf_full,17,4096,0.10705499765463174
FiRE,wf_full,19,4096,0.12113576299743727
FiRE,wf_full,21,4096,0.13574890244053678
FiRE,wf_full,23,4096,0.15315166920190676
FiRE,wf_full,24,4096,0.16006270779762416
FiRE,wf_full,25,4096,0.16797542246058583
FiRE,wf_full,27,4096,0.18508578799664974
FiRE,wf_full,29,4096,0.2056957812514156
FiRE,wf_full,32,4096,0.23916529264533892
FiRE,wf_full,34,2048,0.13039167249808087
FiRE,wf_full,38,2048,0.1564127317513339
FiRE,wf_full,41,2048,0.17513064830563962
FiRE,wf_full,45,2048,0.20253488135058434
FiRE,wf_full,49,2048,0.2360780571005307
FiRE,wf_full,53,2048,0.2694155002012849
FiRE,wf_full,58,2048,0.3195614289492369
FiRE,wf_full,63,1024,0.1746311620925553
FiRE,wf_full,68,1024,0.21737833720399066
FiRE,wf_full,74,1024,0.255582551646512
FiRE,wf_full,81,512,0.15052658405620606
FiRE,wf_full,88,512,0.17793348394334316
FiRE,wf_full,96,512,0.22173242815770208
FiRE,wf_full,99,256,0.11976777294185012
FiRE,wf_full,105,256,0.13735608615679668
FiRE,wf_full,114,256,0.1628653092426248
FiRE,wf_full,124,128,0.09372504310449585
FiRE,E_kin,16,2048,0.5392564798239619
FiRE,E_kin,17,2048,0.5769544451031834
FiRE,E_kin,19,2048,0.64383699814789
FiRE,E_kin,21,1024,0.35557561297900975
FiRE,E_kin,23,1024,0.4152722810395062
FiRE,E_kin,24,1024,0.4277395410463214
FiRE,E_kin,25,1024,0.4485905999317765
FiRE,E_kin,27,1024,0.4868887111078948
FiRE,E_kin,29,1024,0.5420233849436045
FiRE,E_kin,32,1024,0.643133969977498
FiRE,E_kin,34,1024,0.7174851738382131
FiRE,E_kin,38,512,0.41101733897812665
FiRE,E_kin,41,512,0.4479147009551525
FiRE,E_kin,45,512,0.5183166980277747
FiRE,E_kin,49,512,0.621970189968124
FiRE,E_kin,53,256,0.33207188406959176
FiRE,E_kin,58,256,0.3828741710167378
FiRE,E_kin,63,256,0.42605562694370747
FiRE,E_kin,68,256,0.511761638103053
FiRE,E_kin,74,256,0.6134598429780453
FiRE,E_kin,81,128,0.3429918931797147
FiRE,E_kin,88,128,0.4067656670231372
FiRE,E_kin,96,128,0.4891961819957942
FiRE,E_kin,99,128,0.5410821281839162
FiRE,E_kin,105,128,0.5969780208542943
FiRE,E_kin,114,128,0.696066458011046
FiRE,E_kin,124,64,0.423285739030689
FiRE,E_kin_dense,16,32,0.0982391688041389
FiRE,E_kin_dense,17,32,0.10772187099792063
FiRE,E_kin_dense,19,32,0.13398973643779755
FiRE,E_kin_dense,21,32,0.16035176150035113
FiRE,E_kin_dense,23,16,0.09605316943489015
FiRE,E_kin_dense,24,16,0.1473781740060076
FiRE,E_kin_dense,25,16,0.11961635248735547
FiRE,E_kin_dense,27,16,0.13591277203522623
FiRE,E_kin_dense,29,16,0.1644692705012858
FiRE,E_kin_dense,32,16,0.27267844090238214
FiRE,E_kin_dense,34,8,0.15500762057490647
FiRE,E_kin_dense,38,8,0.19772605854086578
FiRE,E_kin_dense,41,8,0.228549444116652
FiRE,E_kin_dense,45,8,0.28338406211696565
FiRE,E_kin_dense,49,4,0.17045200907159597
FiRE,E_kin_dense,53,4,0.204532251926139
FiRE,E_kin_dense,58,4,0.2538675870746374
FiRE,E_kin_dense,63,4,0.22196822497062385
FiRE,E_kin_dense,68,2,0.18795424001291394
lapnet,wf_full,16,4096,0.09920533109689131
lapnet,wf_full,17,4096,0.10443016794743017
lapnet,wf_full,19,4096,0.11665359900798648
lapnet,wf_full,21,4096,0.13060463934671135
lapnet,wf_full,23,4096,0.14566195395309478
lapnet,wf_full,24,4096,0.15426787385949864
lapnet,wf_full,25,4096,0.16107709564967082
lapnet,wf_full,27,4096,0.17601297949440778
lapnet,wf_full,29,4096,0.22776302499696613
lapnet,wf_full,32,4096,0.3113591233966872
lapnet,wf_full,34,4096,0.34288652485702187
lapnet,wf_full,38,4096,0.40371349989436567
lapnet,wf_full,41,4096,0.45153755919309335
lapnet,wf_full,45,4096,0.5229938153061084
lapnet,wf_full,49,4096,0.6019298932515085
lapnet,wf_full,53,4096,0.681692033901345
lapnet,wf_full,58,4096,0.8082224111538381
lapnet,wf_full,63,4096,0.9163450089516119
lapnet,wf_full,68,4096,1.1907373880036176
lapnet,wf_full,74,4096,1.3877907942049206
lapnet,wf_full,81,4096,1.6164047167403623
lapnet,wf_full,88,4096,1.8979031297960318
lapnet,wf_full,96,4096,2.490301439957693
lapnet,wf_full,99,4096,2.617281067103613
lapnet,wf_full,105,2048,1.470313904096838
lapnet,wf_full,114,2048,1.7327950985985807
lapnet,wf_full,124,2048,1.994537290558219
lapnet,E_kin,16,256,0.7607803689315915
lapnet,E_kin,17,256,0.8447328170295805
lapnet,E_kin,19,256,1.0687402291223407
lapnet,E_kin,21,128,0.6590196541510522
lapnet,E_kin,23,128,0.7943233109544963
lapnet,E_kin,24,128,0.8774654609151185
lapnet,E_kin,25,128,0.9468649269547313
lapnet,E_kin,27,128,1.1189636019989848
lapnet,E_kin,29,64,0.6422035819850862
lapnet,E_kin,32,64,0.8518384399358183
lapnet,E_kin,34,64,0.9696613179985434
lapnet,E_kin,38,32,0.6177139980718493
lapnet,E_kin,41,32,0.7434544211719185
