{'system': 'cumulene', 'system_size': 16, 'batch_size': 32, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 32, 'n_el': 68, 't_wf_full': 0.0010993327707052231, 't_E_kin': 0.17419827580451966}
{'system': 'cumulene', 'system_size': 18, 'batch_size': 32, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 36, 'n_el': 76, 't_wf_full': 0.0012153012216091156, 't_E_kin': 0.22160911783576012}
{'system': 'cumulene', 'system_size': 20, 'batch_size': 32, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 40, 'n_el': 84, 't_wf_full': 0.0013516201674938202, 't_E_kin': 0.2760791517794132}
{'system': 'cumulene', 'system_size': 23, 'batch_size': 32, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 46, 'n_el': 96, 't_wf_full': 0.0015097635120153428, 't_E_kin': 0.3539502076804638}
{'system': 'cumulene', 'system_size': 25, 'batch_size': 32, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 50, 'n_el': 104, 't_wf_full': 0.001596149328351021, 't_E_kin': 0.4240814246237278}
{'system': 'cumulene', 'system_size': 29, 'batch_size': 32, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 58, 'n_el': 120, 't_wf_full': 0.002164537853002548, 't_E_kin': 0.5860786572098732}
{'system': 'cumulene', 'system_size': 32, 'batch_size': 32, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 64, 'n_el': 132, 't_wf_full': 0.002840955349802971, 't_E_kin': 0.8751052662730217}
{'system': 'cumulene', 'system_size': 36, 'batch_size': 32, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 72, 'n_el': 148, 't_wf_full': 0.003308567041158676, 't_E_kin': 1.1328074634075165}
{'system': 'cumulene', 'system_size': 40, 'batch_size': 32, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 80, 'n_el': 164, 't_wf_full': 0.0038207453817129134, 't_E_kin': 1.455289179086685}
{'system': 'cumulene', 'system_size': 45, 'batch_size': 16, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 90, 'n_el': 184, 't_wf_full': 0.002745606940984726, 't_E_kin': 1.017599181085825}
{'system': 'cumulene', 'system_size': 51, 'batch_size': 16, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 102, 'n_el': 208, 't_wf_full': 0.003172474491596222, 't_E_kin': 1.3481226854026318}
{'system': 'cumulene', 'system_size': 57, 'batch_size': 8, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 114, 'n_el': 232, 't_wf_full': 0.0028639445126056673, 't_E_kin': 0.9513110592961311}
{'system': 'cumulene', 'system_size': 64, 'batch_size': 4, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 128, 'n_el': 260, 't_wf_full': 0.003075053200125694, 't_E_kin': 0.8050416618585586}
{'system': 'cumulene', 'system_size': 72, 'batch_size': 4, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 144, 'n_el': 292, 't_wf_full': 0.003856758788228035, 't_E_kin': 1.0757954381406307}
{'system': 'cumulene', 'system_size': 81, 'batch_size': 2, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 162, 'n_el': 328, 't_wf_full': 0.004274774977564812, 't_E_kin': 0.81637452095747}
{'system': 'cumulene', 'system_size': 91, 'batch_size': 2, 'use_ecp': True, 'model': 'psiformer', 'n_determinants': 4, 'n_iterations': 250, 'n_el_core': 182, 'n_el': 368, 't_wf_full': 0.005286027696728706, 't_E_kin': 1.107942060381174}
