{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 32, 'n_el': 68, 't_wf_full': 0.0011290721200057305, 't_wf_upd_local': 0.000565601219976088, 't_wf_upd_swap': 0.0006050163139880169, 't_E_pot': 0.024944888400204944, 'static_local/n_pairs_same': 196, 'static_local/n_pairs_diff': 254, 'static_local/n_triplets': 3136, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 10, 'static_local/n_changed_pair_same': 36, 'static_local/n_changed_pair_diff': 46, 'static_local/n_pp_elecs': 68, 'static_swap/n_pairs_same': 196, 'static_swap/n_pairs_diff': 252, 'static_swap/n_triplets': 3136, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 69, 'static_swap/n_changed_pair_diff': 73, 'static_swap/n_pp_elecs': 68, 'pp_static/n_pairs_same': 200, 'pp_static/n_pairs_diff': 260, 'pp_static/n_triplets': 3238, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 59, 'pp_static/n_changed_pair_diff': 65, 'pp_static/n_pp_elecs': 204, 't_E_kin_sparse': 0.008247431619965937}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 36, 'n_el': 76, 't_wf_full': 0.0012315156040131115, 't_wf_upd_local': 0.0005871914279996417, 't_wf_upd_swap': 0.0006428394179965835, 't_E_pot': 0.0262864617005107, 'static_local/n_pairs_same': 220, 'static_local/n_pairs_diff': 272, 'static_local/n_triplets': 3324, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 33, 'static_local/n_changed_pair_diff': 47, 'static_local/n_pp_elecs': 76, 'static_swap/n_pairs_same': 226, 'static_swap/n_pairs_diff': 264, 'static_swap/n_triplets': 3300, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 66, 'static_swap/n_changed_pair_diff': 77, 'static_swap/n_pp_elecs': 76, 'pp_static/n_pairs_same': 226, 'pp_static/n_pairs_diff': 274, 'pp_static/n_triplets': 3386, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 53, 'pp_static/n_changed_pair_diff': 62, 'pp_static/n_pp_elecs': 208, 't_E_kin_sparse': 0.009196661520109046}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 40, 'n_el': 84, 't_wf_full': 0.00137130988802528, 't_wf_upd_local': 0.0005996899380115793, 't_wf_upd_swap': 0.000656666208000388, 't_E_pot': 0.029698189899499995, 'static_local/n_pairs_same': 244, 'static_local/n_pairs_diff': 312, 'static_local/n_triplets': 3926, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 34, 'static_local/n_changed_pair_diff': 53, 'static_local/n_pp_elecs': 84, 'static_swap/n_pairs_same': 248, 'static_swap/n_pairs_diff': 310, 'static_swap/n_triplets': 3980, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 18, 'static_swap/n_changed_pair_same': 69, 'static_swap/n_changed_pair_diff': 78, 'static_swap/n_pp_elecs': 84, 'pp_static/n_pairs_same': 252, 'pp_static/n_pairs_diff': 314, 'pp_static/n_triplets': 4090, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 53, 'pp_static/n_changed_pair_diff': 65, 'pp_static/n_pp_elecs': 224, 't_E_kin_sparse': 0.01024770224976237}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 46, 'n_el': 96, 't_wf_full': 0.0015473932480090298, 't_wf_upd_local': 0.0006136801500106231, 't_wf_upd_swap': 0.0007197302920103539, 't_E_pot': 0.04144377659831662, 'static_local/n_pairs_same': 280, 'static_local/n_pairs_diff': 368, 'static_local/n_triplets': 4242, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 35, 'static_local/n_changed_pair_diff': 45, 'static_local/n_pp_elecs': 96, 'static_swap/n_pairs_same': 286, 'static_swap/n_pairs_diff': 364, 'static_swap/n_triplets': 4266, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 21, 'static_swap/n_changed_pair_same': 83, 'static_swap/n_changed_pair_diff': 80, 'static_swap/n_pp_elecs': 96, 'pp_static/n_pairs_same': 288, 'pp_static/n_pairs_diff': 372, 'pp_static/n_triplets': 4436, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 53, 'pp_static/n_changed_pair_diff': 65, 'pp_static/n_pp_elecs': 268, 't_E_kin_sparse': 0.011840681899775518}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 50, 'n_el': 104, 't_wf_full': 0.001651478055980988, 't_wf_upd_local': 0.0006182185079960618, 't_wf_upd_swap': 0.0007479168240097352, 't_E_pot': 0.04914665700052865, 'static_local/n_pairs_same': 298, 'static_local/n_pairs_diff': 388, 'static_local/n_triplets': 4784, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 38, 'static_local/n_changed_pair_diff': 47, 'static_local/n_pp_elecs': 104, 'static_swap/n_pairs_same': 306, 'static_swap/n_pairs_diff': 388, 'static_swap/n_triplets': 4784, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 20, 'static_swap/n_changed_pair_same': 70, 'static_swap/n_changed_pair_diff': 77, 'static_swap/n_pp_elecs': 104, 'pp_static/n_pairs_same': 302, 'pp_static/n_pairs_diff': 394, 'pp_static/n_triplets': 4884, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 55, 'pp_static/n_changed_pair_diff': 74, 'pp_static/n_pp_elecs': 308, 't_E_kin_sparse': 0.013111173600191251}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 58, 'n_el': 120, 't_wf_full': 0.0019647923960001206, 't_wf_upd_local': 0.0006526522579952143, 't_wf_upd_swap': 0.0007503943599876947, 't_E_pot': 0.07694465140230022, 'static_local/n_pairs_same': 348, 'static_local/n_pairs_diff': 424, 'static_local/n_triplets': 5156, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 35, 'static_local/n_changed_pair_diff': 52, 'static_local/n_pp_elecs': 120, 'static_swap/n_pairs_same': 356, 'static_swap/n_pairs_diff': 424, 'static_swap/n_triplets': 5162, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 17, 'static_swap/n_changed_pair_same': 65, 'static_swap/n_changed_pair_diff': 80, 'static_swap/n_pp_elecs': 120, 'pp_static/n_pairs_same': 354, 'pp_static/n_pairs_diff': 432, 'pp_static/n_triplets': 5280, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 53, 'pp_static/n_changed_pair_diff': 62, 'pp_static/n_pp_elecs': 332, 't_E_kin_sparse': 0.015027470650238683}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 64, 'n_el': 132, 't_wf_full': 0.002262958011997398, 't_wf_upd_local': 0.0007354365020000842, 't_wf_upd_swap': 0.0007891421320382506, 't_E_pot': 0.08459847799967975, 'static_local/n_pairs_same': 372, 'static_local/n_pairs_diff': 482, 'static_local/n_triplets': 5996, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 12, 'static_local/n_changed_pair_same': 34, 'static_local/n_changed_pair_diff': 46, 'static_local/n_pp_elecs': 132, 'static_swap/n_pairs_same': 368, 'static_swap/n_pairs_diff': 482, 'static_swap/n_triplets': 5926, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 17, 'static_swap/n_changed_pair_same': 63, 'static_swap/n_changed_pair_diff': 68, 'static_swap/n_pp_elecs': 132, 'pp_static/n_pairs_same': 374, 'pp_static/n_pairs_diff': 486, 'pp_static/n_triplets': 6034, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 54, 'pp_static/n_changed_pair_diff': 69, 'pp_static/n_pp_elecs': 368, 't_E_kin_sparse': 0.017782829650241184}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 72, 'n_el': 148, 't_wf_full': 0.002601395880046766, 't_wf_upd_local': 0.0007121019079932012, 't_wf_upd_swap': 0.0007938207120168954, 't_E_pot': 0.120005595497787, 'static_local/n_pairs_same': 410, 'static_local/n_pairs_diff': 556, 'static_local/n_triplets': 6890, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 36, 'static_local/n_changed_pair_diff': 47, 'static_local/n_pp_elecs': 148, 'static_swap/n_pairs_same': 414, 'static_swap/n_pairs_diff': 550, 'static_swap/n_triplets': 6890, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 60, 'static_swap/n_changed_pair_diff': 84, 'static_swap/n_pp_elecs': 148, 'pp_static/n_pairs_same': 416, 'pp_static/n_pairs_diff': 560, 'pp_static/n_triplets': 7000, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 18, 'pp_static/n_changed_pair_same': 57, 'pp_static/n_changed_pair_diff': 71, 'pp_static/n_pp_elecs': 408, 't_E_kin_sparse': 0.021312911999120842}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 80, 'n_el': 164, 't_wf_full': 0.0030158300039474853, 't_wf_upd_local': 0.0007547480700013694, 't_wf_upd_swap': 0.0008257986920070835, 't_E_pot': 0.17497191099391785, 'static_local/n_pairs_same': 480, 'static_local/n_pairs_diff': 616, 'static_local/n_triplets': 7320, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 12, 'static_local/n_changed_pair_same': 44, 'static_local/n_changed_pair_diff': 55, 'static_local/n_pp_elecs': 164, 'static_swap/n_pairs_same': 482, 'static_swap/n_pairs_diff': 618, 'static_swap/n_triplets': 7350, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 71, 'static_swap/n_changed_pair_diff': 85, 'static_swap/n_pp_elecs': 164, 'pp_static/n_pairs_same': 486, 'pp_static/n_pairs_diff': 622, 'pp_static/n_triplets': 7514, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 57, 'pp_static/n_changed_pair_diff': 67, 'pp_static/n_pp_elecs': 456, 't_E_kin_sparse': 0.02461030300037237}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 90, 'n_el': 184, 't_wf_full': 0.0034498635639902205, 't_wf_upd_local': 0.000786090684006922, 't_wf_upd_swap': 0.0008786479400005191, 't_E_pot': 0.23854171799030155, 'static_local/n_pairs_same': 514, 'static_local/n_pairs_diff': 658, 'static_local/n_triplets': 7904, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 12, 'static_local/n_changed_pair_same': 39, 'static_local/n_changed_pair_diff': 48, 'static_local/n_pp_elecs': 184, 'static_swap/n_pairs_same': 514, 'static_swap/n_pairs_diff': 658, 'static_swap/n_triplets': 7882, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 63, 'static_swap/n_changed_pair_diff': 67, 'static_swap/n_pp_elecs': 184, 'pp_static/n_pairs_same': 518, 'pp_static/n_pairs_diff': 666, 'pp_static/n_triplets': 8026, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 57, 'pp_static/n_changed_pair_diff': 71, 'pp_static/n_pp_elecs': 508, 't_E_kin_sparse': 0.028623364999657498}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': False, 'n_el_core': 102, 'n_el': 208, 't_wf_full': 0.004064599580015055, 't_wf_upd_local': 0.0008697795839980244, 't_wf_upd_swap': 0.0009562115320004523, 't_E_pot': 0.41678126600163523, 'static_local/n_pairs_same': 584, 'static_local/n_pairs_diff': 762, 'static_local/n_triplets': 9012, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 12, 'static_local/n_changed_pair_same': 39, 'static_local/n_changed_pair_diff': 49, 'static_local/n_pp_elecs': 208, 'static_swap/n_pairs_same': 590, 'static_swap/n_pairs_diff': 762, 'static_swap/n_triplets': 9014, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 71, 'static_swap/n_changed_pair_diff': 78, 'static_swap/n_pp_elecs': 208, 'pp_static/n_pairs_same': 588, 'pp_static/n_pairs_diff': 768, 'pp_static/n_triplets': 9138, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 17, 'pp_static/n_changed_pair_same': 65, 'pp_static/n_changed_pair_diff': 82, 'pp_static/n_pp_elecs': 576, 't_E_kin_sparse': 0.036906171300506684}
