{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 32, 'n_el': 68, 't_wf_full': 0.0011255887880106457, 't_wf_upd_local': 0.0005676089280023007, 't_wf_upd_swap': 0.0006104739540023729, 't_E_kin': 0.1753225315005693, 't_E_pot': 0.024989501399977597, 'static_local/n_pairs_same': 196, 'static_local/n_pairs_diff': 254, 'static_local/n_triplets': 3136, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 10, 'static_local/n_changed_pair_same': 36, 'static_local/n_changed_pair_diff': 46, 'static_local/n_pp_elecs': 68, 'static_swap/n_pairs_same': 196, 'static_swap/n_pairs_diff': 252, 'static_swap/n_triplets': 3136, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 69, 'static_swap/n_changed_pair_diff': 73, 'static_swap/n_pp_elecs': 68, 'pp_static/n_pairs_same': 200, 'pp_static/n_pairs_diff': 260, 'pp_static/n_triplets': 3238, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 59, 'pp_static/n_changed_pair_diff': 65, 'pp_static/n_pp_elecs': 204}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 36, 'n_el': 76, 't_wf_full': 0.0012367414440086577, 't_wf_upd_local': 0.000588643819995923, 't_wf_upd_swap': 0.0006423951940087136, 't_E_kin': 0.21991086700290907, 't_E_pot': 0.026034406699909595, 'static_local/n_pairs_same': 220, 'static_local/n_pairs_diff': 272, 'static_local/n_triplets': 3324, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 33, 'static_local/n_changed_pair_diff': 47, 'static_local/n_pp_elecs': 76, 'static_swap/n_pairs_same': 226, 'static_swap/n_pairs_diff': 264, 'static_swap/n_triplets': 3300, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 66, 'static_swap/n_changed_pair_diff': 77, 'static_swap/n_pp_elecs': 76, 'pp_static/n_pairs_same': 226, 'pp_static/n_pairs_diff': 274, 'pp_static/n_triplets': 3386, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 53, 'pp_static/n_changed_pair_diff': 62, 'pp_static/n_pp_elecs': 208}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 40, 'n_el': 84, 't_wf_full': 0.0013770589720224961, 't_wf_upd_local': 0.0005991737459989963, 't_wf_upd_swap': 0.0006551774239924271, 't_E_kin': 0.2613933350003208, 't_E_pot': 0.029724857499968494, 'static_local/n_pairs_same': 244, 'static_local/n_pairs_diff': 312, 'static_local/n_triplets': 3926, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 34, 'static_local/n_changed_pair_diff': 53, 'static_local/n_pp_elecs': 84, 'static_swap/n_pairs_same': 248, 'static_swap/n_pairs_diff': 310, 'static_swap/n_triplets': 3980, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 18, 'static_swap/n_changed_pair_same': 69, 'static_swap/n_changed_pair_diff': 78, 'static_swap/n_pp_elecs': 84, 'pp_static/n_pairs_same': 252, 'pp_static/n_pairs_diff': 314, 'pp_static/n_triplets': 4090, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 53, 'pp_static/n_changed_pair_diff': 65, 'pp_static/n_pp_elecs': 224}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 46, 'n_el': 96, 't_wf_full': 0.0015481952519912738, 't_wf_upd_local': 0.000609776048004278, 't_wf_upd_swap': 0.0007170894360024249, 't_E_kin': 0.3186877300031483, 't_E_pot': 0.04111162399931345, 'static_local/n_pairs_same': 280, 'static_local/n_pairs_diff': 368, 'static_local/n_triplets': 4242, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 35, 'static_local/n_changed_pair_diff': 45, 'static_local/n_pp_elecs': 96, 'static_swap/n_pairs_same': 286, 'static_swap/n_pairs_diff': 364, 'static_swap/n_triplets': 4266, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 21, 'static_swap/n_changed_pair_same': 83, 'static_swap/n_changed_pair_diff': 80, 'static_swap/n_pp_elecs': 96, 'pp_static/n_pairs_same': 288, 'pp_static/n_pairs_diff': 372, 'pp_static/n_triplets': 4436, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 53, 'pp_static/n_changed_pair_diff': 65, 'pp_static/n_pp_elecs': 268}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 50, 'n_el': 104, 't_wf_full': 0.0016515619559795596, 't_wf_upd_local': 0.0006176145279896446, 't_wf_upd_swap': 0.0007487641759944382, 't_E_kin': 0.38114985499851173, 't_E_pot': 0.04915117219934473, 'static_local/n_pairs_same': 298, 'static_local/n_pairs_diff': 388, 'static_local/n_triplets': 4784, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 38, 'static_local/n_changed_pair_diff': 47, 'static_local/n_pp_elecs': 104, 'static_swap/n_pairs_same': 306, 'static_swap/n_pairs_diff': 388, 'static_swap/n_triplets': 4784, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 20, 'static_swap/n_changed_pair_same': 70, 'static_swap/n_changed_pair_diff': 77, 'static_swap/n_pp_elecs': 104, 'pp_static/n_pairs_same': 302, 'pp_static/n_pairs_diff': 394, 'pp_static/n_triplets': 4884, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 55, 'pp_static/n_changed_pair_diff': 74, 'pp_static/n_pp_elecs': 308}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 58, 'n_el': 120, 't_wf_full': 0.0019729680719901806, 't_wf_upd_local': 0.0006530870739952661, 't_wf_upd_swap': 0.0007500661259982735, 't_E_kin': 0.5172952829962014, 't_E_pot': 0.0772926224002731, 'static_local/n_pairs_same': 348, 'static_local/n_pairs_diff': 424, 'static_local/n_triplets': 5156, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 35, 'static_local/n_changed_pair_diff': 52, 'static_local/n_pp_elecs': 120, 'static_swap/n_pairs_same': 356, 'static_swap/n_pairs_diff': 424, 'static_swap/n_triplets': 5162, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 17, 'static_swap/n_changed_pair_same': 65, 'static_swap/n_changed_pair_diff': 80, 'static_swap/n_pp_elecs': 120, 'pp_static/n_pairs_same': 354, 'pp_static/n_pairs_diff': 432, 'pp_static/n_triplets': 5280, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 53, 'pp_static/n_changed_pair_diff': 62, 'pp_static/n_pp_elecs': 332}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 64, 'n_el': 132, 't_wf_full': 0.0022747734840086195, 't_wf_upd_local': 0.0007357227519969456, 't_wf_upd_swap': 0.0007881158560048789, 't_E_kin': 0.6321317300025839, 't_E_pot': 0.08463207960012369, 'static_local/n_pairs_same': 372, 'static_local/n_pairs_diff': 482, 'static_local/n_triplets': 5996, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 12, 'static_local/n_changed_pair_same': 34, 'static_local/n_changed_pair_diff': 46, 'static_local/n_pp_elecs': 132, 'static_swap/n_pairs_same': 368, 'static_swap/n_pairs_diff': 482, 'static_swap/n_triplets': 5926, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 17, 'static_swap/n_changed_pair_same': 63, 'static_swap/n_changed_pair_diff': 68, 'static_swap/n_pp_elecs': 132, 'pp_static/n_pairs_same': 374, 'pp_static/n_pairs_diff': 486, 'pp_static/n_triplets': 6034, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 54, 'pp_static/n_changed_pair_diff': 69, 'pp_static/n_pp_elecs': 368}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 72, 'n_el': 148, 't_wf_full': 0.0026222036160179416, 't_wf_upd_local': 0.000714302492007846, 't_wf_upd_swap': 0.0007996479479770642, 't_E_kin': 0.7889797169991652, 't_E_pot': 0.12042999850018532, 'static_local/n_pairs_same': 410, 'static_local/n_pairs_diff': 556, 'static_local/n_triplets': 6890, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 11, 'static_local/n_changed_pair_same': 36, 'static_local/n_changed_pair_diff': 47, 'static_local/n_pp_elecs': 148, 'static_swap/n_pairs_same': 414, 'static_swap/n_pairs_diff': 550, 'static_swap/n_triplets': 6890, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 60, 'static_swap/n_changed_pair_diff': 84, 'static_swap/n_pp_elecs': 148, 'pp_static/n_pairs_same': 416, 'pp_static/n_pairs_diff': 560, 'pp_static/n_triplets': 7000, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 18, 'pp_static/n_changed_pair_same': 57, 'pp_static/n_changed_pair_diff': 71, 'pp_static/n_pp_elecs': 408}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 80, 'n_el': 164, 't_wf_full': 0.003028131739993114, 't_wf_upd_local': 0.0007535678419953911, 't_wf_upd_swap': 0.0008275417799886781, 't_E_kin': 0.9898259770052391, 't_E_pot': 0.17569175150129013, 'static_local/n_pairs_same': 480, 'static_local/n_pairs_diff': 616, 'static_local/n_triplets': 7320, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 12, 'static_local/n_changed_pair_same': 44, 'static_local/n_changed_pair_diff': 55, 'static_local/n_pp_elecs': 164, 'static_swap/n_pairs_same': 482, 'static_swap/n_pairs_diff': 618, 'static_swap/n_triplets': 7350, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 71, 'static_swap/n_changed_pair_diff': 85, 'static_swap/n_pp_elecs': 164, 'pp_static/n_pairs_same': 486, 'pp_static/n_pairs_diff': 622, 'pp_static/n_triplets': 7514, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 57, 'pp_static/n_changed_pair_diff': 67, 'pp_static/n_pp_elecs': 456}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 90, 'n_el': 184, 't_wf_full': 0.0034542019559885375, 't_wf_upd_local': 0.0007814808540133526, 't_wf_upd_swap': 0.0008750272800098173, 't_E_kin': 1.2703538810019381, 't_E_pot': 0.23958723599935183, 'static_local/n_pairs_same': 514, 'static_local/n_pairs_diff': 658, 'static_local/n_triplets': 7904, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 12, 'static_local/n_changed_pair_same': 39, 'static_local/n_changed_pair_diff': 48, 'static_local/n_pp_elecs': 184, 'static_swap/n_pairs_same': 514, 'static_swap/n_pairs_diff': 658, 'static_swap/n_triplets': 7882, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 63, 'static_swap/n_changed_pair_diff': 67, 'static_swap/n_pp_elecs': 184, 'pp_static/n_pairs_same': 518, 'pp_static/n_pairs_diff': 666, 'pp_static/n_triplets': 8026, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 57, 'pp_static/n_changed_pair_diff': 71, 'pp_static/n_pp_elecs': 508}
{'batch_size': 32, 'use_ecp': True, 'cutoff': 3.0, 'system': 'cumulene', 'move_stepsize': 0.5, 'n_iterations': 250, 'dense_Ekin': True, 'n_el_core': 102, 'n_el': 208, 't_wf_full': 0.004073755784018431, 't_wf_upd_local': 0.0008709902559930925, 't_wf_upd_swap': 0.0009636472239799332, 't_E_kin': 1.6377811150014168, 't_E_pot': 0.41683496000041487, 'static_local/n_pairs_same': 584, 'static_local/n_pairs_diff': 762, 'static_local/n_triplets': 9012, 'static_local/n_neighbours_en': 18, 'static_local/n_changed_hout': 12, 'static_local/n_changed_pair_same': 39, 'static_local/n_changed_pair_diff': 49, 'static_local/n_pp_elecs': 208, 'static_swap/n_pairs_same': 590, 'static_swap/n_pairs_diff': 762, 'static_swap/n_triplets': 9014, 'static_swap/n_neighbours_en': 18, 'static_swap/n_changed_hout': 19, 'static_swap/n_changed_pair_same': 71, 'static_swap/n_changed_pair_diff': 78, 'static_swap/n_pp_elecs': 208, 'pp_static/n_pairs_same': 588, 'pp_static/n_pairs_diff': 768, 'pp_static/n_triplets': 9138, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 17, 'pp_static/n_changed_pair_same': 65, 'pp_static/n_changed_pair_diff': 82, 'pp_static/n_pp_elecs': 576}
