{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 4, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 28, 't_wf_full': 0.0007585453093051911, 't_wf_lr': 0.0006312529891729354, 't_E_kin': 0.004670023173093796, 't_E_pot': 0.00047175660729408263, 'static/n_pairs_same': 126, 'static/n_pairs_diff': 142, 'static/n_triplets': 2748, 'static/n_neighbours_en': 8, 'static/n_changed_hout': 17, 'static/n_changed_pair_same': 83, 'static/n_changed_pair_diff': 96, 'static/n_pp_elecs': 28, 'pp_static/n_pairs_same': 126, 'pp_static/n_pairs_diff': 142, 'pp_static/n_triplets': 2748, 'pp_static/n_neighbours_en': 8, 'pp_static/n_changed_hout': 17, 'pp_static/n_changed_pair_same': 83, 'pp_static/n_changed_pair_diff': 96, 'pp_static/n_pp_elecs': 28}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 5, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 34, 't_wf_full': 0.000983402818441391, 't_wf_lr': 0.0006560532450675964, 't_E_kin': 0.007057380676269531, 't_E_pot': 0.00032781511545181273, 'static/n_pairs_same': 148, 'static/n_pairs_diff': 180, 'static/n_triplets': 3320, 'static/n_neighbours_en': 9, 'static/n_changed_hout': 15, 'static/n_changed_pair_same': 76, 'static/n_changed_pair_diff': 90, 'static/n_pp_elecs': 34, 'pp_static/n_pairs_same': 148, 'pp_static/n_pairs_diff': 180, 'pp_static/n_triplets': 3320, 'pp_static/n_neighbours_en': 9, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 76, 'pp_static/n_changed_pair_diff': 90, 'pp_static/n_pp_elecs': 34}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 6, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 40, 't_wf_full': 0.0009396589696407318, 't_wf_lr': 0.0006579951494932175, 't_E_kin': 0.005951062589883804, 't_E_pot': 0.00045404508709907533, 'static/n_pairs_same': 180, 'static/n_pairs_diff': 212, 'static/n_triplets': 4174, 'static/n_neighbours_en': 10, 'static/n_changed_hout': 15, 'static/n_changed_pair_same': 78, 'static/n_changed_pair_diff': 92, 'static/n_pp_elecs': 40, 'pp_static/n_pairs_same': 180, 'pp_static/n_pairs_diff': 212, 'pp_static/n_triplets': 4174, 'pp_static/n_neighbours_en': 10, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 78, 'pp_static/n_changed_pair_diff': 92, 'pp_static/n_pp_elecs': 40}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 7, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 46, 't_wf_full': 0.0011412288695573807, 't_wf_lr': 0.0006868245899677276, 't_E_kin': 0.009646033495664596, 't_E_pot': 0.0002707742154598236, 'static/n_pairs_same': 214, 'static/n_pairs_diff': 252, 'static/n_triplets': 5010, 'static/n_neighbours_en': 11, 'static/n_changed_hout': 16, 'static/n_changed_pair_same': 88, 'static/n_changed_pair_diff': 93, 'static/n_pp_elecs': 46, 'pp_static/n_pairs_same': 214, 'pp_static/n_pairs_diff': 252, 'pp_static/n_triplets': 5010, 'pp_static/n_neighbours_en': 11, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 88, 'pp_static/n_changed_pair_diff': 93, 'pp_static/n_pp_elecs': 46}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 9, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 58, 't_wf_full': 0.0013052328526973725, 't_wf_lr': 0.0007159384638071061, 't_E_kin': 0.01378123089671135, 't_E_pot': 0.00043096840381622313, 'static/n_pairs_same': 264, 'static/n_pairs_diff': 306, 'static/n_triplets': 5904, 'static/n_neighbours_en': 13, 'static/n_changed_hout': 16, 'static/n_changed_pair_same': 75, 'static/n_changed_pair_diff': 88, 'static/n_pp_elecs': 58, 'pp_static/n_pairs_same': 264, 'pp_static/n_pairs_diff': 306, 'pp_static/n_triplets': 5904, 'pp_static/n_neighbours_en': 13, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 75, 'pp_static/n_changed_pair_diff': 88, 'pp_static/n_pp_elecs': 58}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 11, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 70, 't_wf_full': 0.0014372669905424117, 't_wf_lr': 0.0007801693975925445, 't_E_kin': 0.015534330904483796, 't_E_pot': 0.0004347868263721466, 'static/n_pairs_same': 316, 'static/n_pairs_diff': 376, 'static/n_triplets': 7298, 'static/n_neighbours_en': 15, 'static/n_changed_hout': 14, 'static/n_changed_pair_same': 72, 'static/n_changed_pair_diff': 90, 'static/n_pp_elecs': 70, 'pp_static/n_pairs_same': 316, 'pp_static/n_pairs_diff': 376, 'pp_static/n_triplets': 7298, 'pp_static/n_neighbours_en': 15, 'pp_static/n_changed_hout': 14, 'pp_static/n_changed_pair_same': 72, 'pp_static/n_changed_pair_diff': 90, 'pp_static/n_pp_elecs': 70}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 13, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 82, 't_wf_full': 0.0017683865875005721, 't_wf_lr': 0.0008464097380638122, 't_E_kin': 0.019594448804855346, 't_E_pot': 0.00043172314763069154, 'static/n_pairs_same': 396, 'static/n_pairs_diff': 462, 'static/n_triplets': 9322, 'static/n_neighbours_en': 17, 'static/n_changed_hout': 14, 'static/n_changed_pair_same': 66, 'static/n_changed_pair_diff': 74, 'static/n_pp_elecs': 82, 'pp_static/n_pairs_same': 396, 'pp_static/n_pairs_diff': 462, 'pp_static/n_triplets': 9322, 'pp_static/n_neighbours_en': 17, 'pp_static/n_changed_hout': 14, 'pp_static/n_changed_pair_same': 66, 'pp_static/n_changed_pair_diff': 74, 'pp_static/n_pp_elecs': 82}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 16, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 100, 't_wf_full': 0.0019700048714876173, 't_wf_lr': 0.0009206420183181762, 't_E_kin': 0.018003126233816148, 't_E_pot': 0.00041673704981803894, 'static/n_pairs_same': 466, 'static/n_pairs_diff': 542, 'static/n_triplets': 10798, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 15, 'static/n_changed_pair_same': 84, 'static/n_changed_pair_diff': 101, 'static/n_pp_elecs': 100, 'pp_static/n_pairs_same': 466, 'pp_static/n_pairs_diff': 542, 'pp_static/n_triplets': 10798, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 84, 'pp_static/n_changed_pair_diff': 101, 'pp_static/n_pp_elecs': 100}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 19, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 118, 't_wf_full': 0.0022960538268089296, 't_wf_lr': 0.0010356226563453675, 't_E_kin': 0.030546990036964417, 't_E_pot': 0.0005158975720405579, 'static/n_pairs_same': 548, 'static/n_pairs_diff': 630, 'static/n_triplets': 12508, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 16, 'static/n_changed_pair_same': 83, 'static/n_changed_pair_diff': 98, 'static/n_pp_elecs': 118, 'pp_static/n_pairs_same': 548, 'pp_static/n_pairs_diff': 630, 'pp_static/n_triplets': 12508, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 83, 'pp_static/n_changed_pair_diff': 98, 'pp_static/n_pp_elecs': 118}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 22, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 136, 't_wf_full': 0.0027747567594051357, 't_wf_lr': 0.001134395882487297, 't_E_kin': 0.026902902126312255, 't_E_pot': 0.0005186155438423156, 'static/n_pairs_same': 620, 'static/n_pairs_diff': 720, 'static/n_triplets': 13796, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 16, 'static/n_changed_pair_same': 84, 'static/n_changed_pair_diff': 97, 'static/n_pp_elecs': 136, 'pp_static/n_pairs_same': 620, 'pp_static/n_pairs_diff': 720, 'pp_static/n_triplets': 13796, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 84, 'pp_static/n_changed_pair_diff': 97, 'pp_static/n_pp_elecs': 136}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 26, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 160, 't_wf_full': 0.0032990271896123887, 't_wf_lr': 0.0013224432468414307, 't_E_kin': 0.04496580362319946, 't_E_pot': 0.00034612715244293214, 'static/n_pairs_same': 730, 'static/n_pairs_diff': 836, 'static/n_triplets': 16508, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 16, 'static/n_changed_pair_same': 90, 'static/n_changed_pair_diff': 100, 'static/n_pp_elecs': 160, 'pp_static/n_pairs_same': 730, 'pp_static/n_pairs_diff': 836, 'pp_static/n_triplets': 16508, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 90, 'pp_static/n_changed_pair_diff': 100, 'pp_static/n_pp_elecs': 160}
