{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 4, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 28, 't_wf_full': 0.0008014367818832398, 't_wf_lr': 0.0006383419632911682, 't_E_kin': 0.0050695337355136875, 't_E_pot': 0.0004013471305370331, 'static/n_pairs_same': 126, 'static/n_pairs_diff': 142, 'static/n_triplets': 2748, 'static/n_neighbours_en': 8, 'static/n_changed_hout': 17, 'static/n_changed_pair_same': 83, 'static/n_changed_pair_diff': 96, 'static/n_pp_elecs': 28, 'pp_static/n_pairs_same': 126, 'pp_static/n_pairs_diff': 142, 'pp_static/n_triplets': 2748, 'pp_static/n_neighbours_en': 8, 'pp_static/n_changed_hout': 17, 'pp_static/n_changed_pair_same': 83, 'pp_static/n_changed_pair_diff': 96, 'pp_static/n_pp_elecs': 28}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 5, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 34, 't_wf_full': 0.0009012253284454346, 't_wf_lr': 0.0006320585906505585, 't_E_kin': 0.007100695371627807, 't_E_pot': 0.0003462076187133789, 'static/n_pairs_same': 148, 'static/n_pairs_diff': 180, 'static/n_triplets': 3320, 'static/n_neighbours_en': 9, 'static/n_changed_hout': 15, 'static/n_changed_pair_same': 76, 'static/n_changed_pair_diff': 90, 'static/n_pp_elecs': 34, 'pp_static/n_pairs_same': 148, 'pp_static/n_pairs_diff': 180, 'pp_static/n_triplets': 3320, 'pp_static/n_neighbours_en': 9, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 76, 'pp_static/n_changed_pair_diff': 90, 'pp_static/n_pp_elecs': 34}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 6, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 40, 't_wf_full': 0.0010219802856445313, 't_wf_lr': 0.0006564615368843078, 't_E_kin': 0.006131663173437119, 't_E_pot': 0.0004397094249725342, 'static/n_pairs_same': 180, 'static/n_pairs_diff': 212, 'static/n_triplets': 4174, 'static/n_neighbours_en': 10, 'static/n_changed_hout': 15, 'static/n_changed_pair_same': 78, 'static/n_changed_pair_diff': 92, 'static/n_pp_elecs': 40, 'pp_static/n_pairs_same': 180, 'pp_static/n_pairs_diff': 212, 'pp_static/n_triplets': 4174, 'pp_static/n_neighbours_en': 10, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 78, 'pp_static/n_changed_pair_diff': 92, 'pp_static/n_pp_elecs': 40}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 7, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 46, 't_wf_full': 0.0010632779747247697, 't_wf_lr': 0.0006726680696010589, 't_E_kin': 0.00984339565038681, 't_E_pot': 0.0002986662089824677, 'static/n_pairs_same': 214, 'static/n_pairs_diff': 252, 'static/n_triplets': 5010, 'static/n_neighbours_en': 11, 'static/n_changed_hout': 16, 'static/n_changed_pair_same': 88, 'static/n_changed_pair_diff': 93, 'static/n_pp_elecs': 46, 'pp_static/n_pairs_same': 214, 'pp_static/n_pairs_diff': 252, 'pp_static/n_triplets': 5010, 'pp_static/n_neighbours_en': 11, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 88, 'pp_static/n_changed_pair_diff': 93, 'pp_static/n_pp_elecs': 46}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 9, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 58, 't_wf_full': 0.001417954996228218, 't_wf_lr': 0.0007172536849975586, 't_E_kin': 0.012412569671869277, 't_E_pot': 0.00033828988671302795, 'static/n_pairs_same': 264, 'static/n_pairs_diff': 306, 'static/n_triplets': 5904, 'static/n_neighbours_en': 13, 'static/n_changed_hout': 16, 'static/n_changed_pair_same': 75, 'static/n_changed_pair_diff': 88, 'static/n_pp_elecs': 58, 'pp_static/n_pairs_same': 264, 'pp_static/n_pairs_diff': 306, 'pp_static/n_triplets': 5904, 'pp_static/n_neighbours_en': 13, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 75, 'pp_static/n_changed_pair_diff': 88, 'pp_static/n_pp_elecs': 58}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 11, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 70, 't_wf_full': 0.0014348492473363877, 't_wf_lr': 0.0007970539182424546, 't_E_kin': 0.015401175618171692, 't_E_pot': 0.0003469213843345642, 'static/n_pairs_same': 316, 'static/n_pairs_diff': 376, 'static/n_triplets': 7298, 'static/n_neighbours_en': 15, 'static/n_changed_hout': 14, 'static/n_changed_pair_same': 72, 'static/n_changed_pair_diff': 90, 'static/n_pp_elecs': 70, 'pp_static/n_pairs_same': 316, 'pp_static/n_pairs_diff': 376, 'pp_static/n_triplets': 7298, 'pp_static/n_neighbours_en': 15, 'pp_static/n_changed_hout': 14, 'pp_static/n_changed_pair_same': 72, 'pp_static/n_changed_pair_diff': 90, 'pp_static/n_pp_elecs': 70}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 13, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 82, 't_wf_full': 0.0017254743427038194, 't_wf_lr': 0.0008474200963973999, 't_E_kin': 0.01968480497598648, 't_E_pot': 0.00033675506711006165, 'static/n_pairs_same': 396, 'static/n_pairs_diff': 462, 'static/n_triplets': 9322, 'static/n_neighbours_en': 17, 'static/n_changed_hout': 14, 'static/n_changed_pair_same': 66, 'static/n_changed_pair_diff': 74, 'static/n_pp_elecs': 82, 'pp_static/n_pairs_same': 396, 'pp_static/n_pairs_diff': 462, 'pp_static/n_triplets': 9322, 'pp_static/n_neighbours_en': 17, 'pp_static/n_changed_hout': 14, 'pp_static/n_changed_pair_same': 66, 'pp_static/n_changed_pair_diff': 74, 'pp_static/n_pp_elecs': 82}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 16, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 100, 't_wf_full': 0.0019532923996448516, 't_wf_lr': 0.0009198953956365586, 't_E_kin': 0.018933264166116716, 't_E_pot': 0.00031792148947715757, 'static/n_pairs_same': 466, 'static/n_pairs_diff': 542, 'static/n_triplets': 10798, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 15, 'static/n_changed_pair_same': 84, 'static/n_changed_pair_diff': 101, 'static/n_pp_elecs': 100, 'pp_static/n_pairs_same': 466, 'pp_static/n_pairs_diff': 542, 'pp_static/n_triplets': 10798, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 84, 'pp_static/n_changed_pair_diff': 101, 'pp_static/n_pp_elecs': 100}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 19, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 118, 't_wf_full': 0.0023684881180524825, 't_wf_lr': 0.0010317821353673935, 't_E_kin': 0.033093392848968506, 't_E_pot': 0.0005092568695545197, 'static/n_pairs_same': 548, 'static/n_pairs_diff': 630, 'static/n_triplets': 12508, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 16, 'static/n_changed_pair_same': 83, 'static/n_changed_pair_diff': 98, 'static/n_pp_elecs': 118, 'pp_static/n_pairs_same': 548, 'pp_static/n_pairs_diff': 630, 'pp_static/n_triplets': 12508, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 83, 'pp_static/n_changed_pair_diff': 98, 'pp_static/n_pp_elecs': 118}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 22, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 136, 't_wf_full': 0.0027642729580402373, 't_wf_lr': 0.001133764073252678, 't_E_kin': 0.0320892870426178, 't_E_pot': 0.00034102872014045714, 'static/n_pairs_same': 620, 'static/n_pairs_diff': 720, 'static/n_triplets': 13796, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 16, 'static/n_changed_pair_same': 84, 'static/n_changed_pair_diff': 97, 'static/n_pp_elecs': 136, 'pp_static/n_pairs_same': 620, 'pp_static/n_pairs_diff': 720, 'pp_static/n_triplets': 13796, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 84, 'pp_static/n_changed_pair_diff': 97, 'pp_static/n_pp_elecs': 136}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 26, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': False, 'n_el_core': 0, 'n_el': 160, 't_wf_full': 0.0032757059931755065, 't_wf_lr': 0.0013259918093681336, 't_E_kin': 0.057224877178668976, 't_E_pot': 0.00046850219368934634, 'static/n_pairs_same': 730, 'static/n_pairs_diff': 836, 'static/n_triplets': 16508, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 16, 'static/n_changed_pair_same': 90, 'static/n_changed_pair_diff': 100, 'static/n_pp_elecs': 160, 'pp_static/n_pairs_same': 730, 'pp_static/n_pairs_diff': 836, 'pp_static/n_triplets': 16508, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 90, 'pp_static/n_changed_pair_diff': 100, 'pp_static/n_pp_elecs': 160}
