{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 4, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 8, 'n_el': 20, 't_wf_full': 0.0006829572170972824, 't_wf_lr': 0.0005494257211685181, 't_E_kin': 0.005213939398527145, 't_E_pot': 0.017247650772333145, 'static/n_pairs_same': 56, 'static/n_pairs_diff': 74, 'static/n_triplets': 894, 'static/n_neighbours_en': 8, 'static/n_changed_hout': 10, 'static/n_changed_pair_same': 36, 'static/n_changed_pair_diff': 41, 'static/n_pp_elecs': 20, 'pp_static/n_pairs_same': 62, 'pp_static/n_pairs_diff': 80, 'pp_static/n_triplets': 1006, 'pp_static/n_neighbours_en': 8, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 47, 'pp_static/n_changed_pair_diff': 59, 'pp_static/n_pp_elecs': 14}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 5, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 10, 'n_el': 24, 't_wf_full': 0.0007169862985610962, 't_wf_lr': 0.0005293398052453994, 't_E_kin': 0.0038156017661094667, 't_E_pot': 0.022202694416046144, 'static/n_pairs_same': 66, 'static/n_pairs_diff': 86, 'static/n_triplets': 1088, 'static/n_neighbours_en': 9, 'static/n_changed_hout': 10, 'static/n_changed_pair_same': 29, 'static/n_changed_pair_diff': 39, 'static/n_pp_elecs': 24, 'pp_static/n_pairs_same': 74, 'pp_static/n_pairs_diff': 94, 'pp_static/n_triplets': 1244, 'pp_static/n_neighbours_en': 9, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 59, 'pp_static/n_changed_pair_diff': 60, 'pp_static/n_pp_elecs': 18}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 6, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 12, 'n_el': 28, 't_wf_full': 0.0007575688958168029, 't_wf_lr': 0.000548850104212761, 't_E_kin': 0.004276258498430252, 't_E_pot': 0.025094351172447203, 'static/n_pairs_same': 76, 'static/n_pairs_diff': 100, 'static/n_triplets': 1162, 'static/n_neighbours_en': 10, 'static/n_changed_hout': 11, 'static/n_changed_pair_same': 39, 'static/n_changed_pair_diff': 44, 'static/n_pp_elecs': 28, 'pp_static/n_pairs_same': 84, 'pp_static/n_pairs_diff': 106, 'pp_static/n_triplets': 1278, 'pp_static/n_neighbours_en': 10, 'pp_static/n_changed_hout': 14, 'pp_static/n_changed_pair_same': 52, 'pp_static/n_changed_pair_diff': 61, 'pp_static/n_pp_elecs': 21}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 7, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 14, 'n_el': 32, 't_wf_full': 0.0009272781312465668, 't_wf_lr': 0.0005865975469350814, 't_E_kin': 0.0049216397106647495, 't_E_pot': 0.028981818258762358, 'static/n_pairs_same': 88, 'static/n_pairs_diff': 116, 'static/n_triplets': 1404, 'static/n_neighbours_en': 11, 'static/n_changed_hout': 11, 'static/n_changed_pair_same': 33, 'static/n_changed_pair_diff': 43, 'static/n_pp_elecs': 32, 'pp_static/n_pairs_same': 94, 'pp_static/n_pairs_diff': 120, 'pp_static/n_triplets': 1508, 'pp_static/n_neighbours_en': 11, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 51, 'pp_static/n_changed_pair_diff': 62, 'pp_static/n_pp_elecs': 24}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 9, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 18, 'n_el': 40, 't_wf_full': 0.0010765160471200943, 't_wf_lr': 0.0006201404929161072, 't_E_kin': 0.006094902753829956, 't_E_pot': 0.03749711066484451, 'static/n_pairs_same': 118, 'static/n_pairs_diff': 146, 'static/n_triplets': 1872, 'static/n_neighbours_en': 13, 'static/n_changed_hout': 11, 'static/n_changed_pair_same': 38, 'static/n_changed_pair_diff': 52, 'static/n_pp_elecs': 40, 'pp_static/n_pairs_same': 128, 'pp_static/n_pairs_diff': 158, 'pp_static/n_triplets': 2122, 'pp_static/n_neighbours_en': 13, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 55, 'pp_static/n_changed_pair_diff': 64, 'pp_static/n_pp_elecs': 29}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 11, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 22, 'n_el': 48, 't_wf_full': 0.0010904630273580551, 't_wf_lr': 0.0006462246924638748, 't_E_kin': 0.006813697516918182, 't_E_pot': 0.04723934754729271, 'static/n_pairs_same': 138, 'static/n_pairs_diff': 182, 'static/n_triplets': 2208, 'static/n_neighbours_en': 15, 'static/n_changed_hout': 11, 'static/n_changed_pair_same': 40, 'static/n_changed_pair_diff': 54, 'static/n_pp_elecs': 48, 'pp_static/n_pairs_same': 148, 'pp_static/n_pairs_diff': 186, 'pp_static/n_triplets': 2362, 'pp_static/n_neighbours_en': 15, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 52, 'pp_static/n_changed_pair_diff': 71, 'pp_static/n_pp_elecs': 36}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 13, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 26, 'n_el': 56, 't_wf_full': 0.0012900398224592207, 't_wf_lr': 0.000686579778790474, 't_E_kin': 0.009659946709871293, 't_E_pot': 0.06039315462112427, 'static/n_pairs_same': 160, 'static/n_pairs_diff': 210, 'static/n_triplets': 2678, 'static/n_neighbours_en': 17, 'static/n_changed_hout': 11, 'static/n_changed_pair_same': 42, 'static/n_changed_pair_diff': 54, 'static/n_pp_elecs': 56, 'pp_static/n_pairs_same': 168, 'pp_static/n_pairs_diff': 218, 'pp_static/n_triplets': 2842, 'pp_static/n_neighbours_en': 17, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 57, 'pp_static/n_changed_pair_diff': 69, 'pp_static/n_pp_elecs': 40}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 16, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 32, 'n_el': 68, 't_wf_full': 0.0013108367621898652, 't_wf_lr': 0.0007412896305322648, 't_E_kin': 0.012817973643541336, 't_E_pot': 0.08592720404267311, 'static/n_pairs_same': 196, 'static/n_pairs_diff': 250, 'static/n_triplets': 2970, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 11, 'static/n_changed_pair_same': 47, 'static/n_changed_pair_diff': 56, 'static/n_pp_elecs': 68, 'pp_static/n_pairs_same': 204, 'pp_static/n_pairs_diff': 258, 'pp_static/n_triplets': 3136, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 56, 'pp_static/n_changed_pair_diff': 68, 'pp_static/n_pp_elecs': 48}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 19, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 38, 'n_el': 80, 't_wf_full': 0.0014542106688022612, 't_wf_lr': 0.0008517934083938598, 't_E_kin': 0.012457963824272156, 't_E_pot': 0.11783234924077987, 'static/n_pairs_same': 234, 'static/n_pairs_diff': 286, 'static/n_triplets': 3734, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 10, 'static/n_changed_pair_same': 36, 'static/n_changed_pair_diff': 47, 'static/n_pp_elecs': 80, 'pp_static/n_pairs_same': 242, 'pp_static/n_pairs_diff': 296, 'pp_static/n_triplets': 3916, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 15, 'pp_static/n_changed_pair_same': 61, 'pp_static/n_changed_pair_diff': 70, 'pp_static/n_pp_elecs': 56}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 22, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 44, 'n_el': 92, 't_wf_full': 0.001698623225092888, 't_wf_lr': 0.0009030156135559082, 't_E_kin': 0.015847456455230714, 't_E_pot': 0.16599323973059654, 'static/n_pairs_same': 262, 'static/n_pairs_diff': 342, 'static/n_triplets': 4372, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 11, 'static/n_changed_pair_same': 34, 'static/n_changed_pair_diff': 58, 'static/n_pp_elecs': 92, 'pp_static/n_pairs_same': 266, 'pp_static/n_pairs_diff': 344, 'pp_static/n_triplets': 4466, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 57, 'pp_static/n_changed_pair_diff': 74, 'pp_static/n_pp_elecs': 63}
{'batch_size': 32, 'cutoff': 3.0, 'system': 'cumulene', 'system_size': 26, 'move_stepsize': 0.5, 'n_iterations': 50, 'use_ecp': True, 'n_el_core': 52, 'n_el': 108, 't_wf_full': 0.0019482423812150957, 't_wf_lr': 0.0009804496318101881, 't_E_kin': 0.021227263659238816, 't_E_pot': 0.25826036632061006, 'static/n_pairs_same': 326, 'static/n_pairs_diff': 402, 'static/n_triplets': 5262, 'static/n_neighbours_en': 18, 'static/n_changed_hout': 12, 'static/n_changed_pair_same': 42, 'static/n_changed_pair_diff': 55, 'static/n_pp_elecs': 108, 'pp_static/n_pairs_same': 332, 'pp_static/n_pairs_diff': 408, 'pp_static/n_triplets': 5438, 'pp_static/n_neighbours_en': 18, 'pp_static/n_changed_hout': 16, 'pp_static/n_changed_pair_same': 69, 'pp_static/n_changed_pair_diff': 73, 'pp_static/n_pp_elecs': 75}
