Platform: gpu, devices: [cuda(id=0)]
Creating model for n_el=32, cutoff=3.0
n_el=32, cutoff=3.0, n_nb= 4, n_deps_max= 12, iteration=0
n_el=32, cutoff=3.0, n_nb= 4, n_deps_max= 12, iteration=1
n_el=32, cutoff=3.0, n_nb= 4, n_deps_max= 12, iteration=2
n_el=32, cutoff=3.0, n_nb= 4, n_deps_max= 12, iteration=3
n_el=32, cutoff=3.0, n_nb= 4, n_deps_max= 12, iteration=4
n_el=32, cutoff=3.0, n_nb= 4, n_deps_max= 12, iteration=5
n_el=32, cutoff=3.0, n_nb= 4, n_deps_max= 12, iteration=6
n_el=32, cutoff=3.0, n_nb= 4, n_deps_max= 12, iteration=7
n_el=32, cutoff=3.0, n_nb= 4, n_deps_max= 12, iteration=8
n_el=32, cutoff=3.0, n_nb= 4, n_deps_max= 12, iteration=9
Creating model for n_el=44, cutoff=3.0
n_el=44, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=0
n_el=44, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=1
n_el=44, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=2
n_el=44, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=3
n_el=44, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=4
n_el=44, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=5
n_el=44, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=6
n_el=44, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=7
n_el=44, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=8
n_el=44, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=9
Creating model for n_el=64, cutoff=3.0
n_el=64, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=0
n_el=64, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=1
n_el=64, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=2
n_el=64, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=3
n_el=64, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=4
n_el=64, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=5
n_el=64, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=6
n_el=64, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=7
n_el=64, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=8
n_el=64, cutoff=3.0, n_nb= 4, n_deps_max= 13, iteration=9
Creating model for n_el=90, cutoff=3.0
